stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.06,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.99,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,20.89,0,0,0,0,0,0,6.84,0,0,0,0,0
 24-34,0,2.91,1.02,1.12,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,63.47,0,0,0,0,0,0,19.71,0,0,0,0,0
 36-46,0,2.14,7.25,4.04,0,0,0,1.5,0,0,0,0,0,0,0,0,2.75,8,0.56,72.85,0,0,0,0,0,0,68.53,0,0,0,0,0
 48-58,0,2.84,0,53.05,0,0,0,0,0,0,0,0,0,0,0,0,1.57,7.11,0.51,108.92,0,2.5,0,0.4,0,0,97.08,0,0.85,0,0,0
 60-70,0,0.6,0,313.45,0,0,0,0,0,0.93,0,0,0.98,2.05,0,0,3.12,15.01,0,335.11,0,1.22,0,0,0,0,84.31,0,0,0,1.3,0
 72-82,0,3.25,0,950.95,0,0,0.61,13.82,0,0,0,0.58,1.42,0,0,2.93,9.09,31.26,0.57,667.09,1.43,0,0,0.87,0,0,136.14,0,0,2.66,5.02,0
 84-94,0,14.9,0,660.37,1.13,0.91,1.63,19.25,0,0,0.62,0.75,0,0,0,0.75,7.95,61.3,1.4,347.38,0,0,0,0,0.58,0,132.61,0,1.79,9.9,6.33,2.76
 96-106,0,1.91,0,820.22,0.88,0.59,4.2,29.6,0,0,0,0,0.75,0,9.82,0,6.57,13.61,2.26,462.94,0,0,1.07,0,31.69,0,55.28,14.91,2.06,6.36,0.58,0
108-118,0,14.94,0,991.4,0,0,0,18.43,0.45,0,4.81,0,0.51,0,0,0,11.23,16.59,0.46,507.38,0,0,7.39,1.23,1.8,1.07,34.35,0.89,0,0.61,2.46,0
120,0,0,0,831.1,0,0,0,11.19,0,0,0,0,0,0,0,0,5.33,6.58,0,535.69,0,12.84,1.47,0,0,0,36.79,0,0,4.29,0,0
