stage,eye,gut,immune,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord
  5-6,0,0,0,0,0,0,0,0,6.3,0,0
  7-9,0,0,0,0,0,3.76,0,0,0,0,0
 14-21,0,0,0,0,0,1.15,0,0,0,0,0
 24-34,0,0,0,1.2,0.65,2.57,0,0.67,0,0,0
 36-46,0,0,2.82,0.99,0,2.25,0,0,0,0,1
 48-58,0,0,8.78,0,0,5.43,0,0,0,0.66,0
 60-70,4.38,0,19.49,0,0,3.16,1.43,0,0,0,0
 72-82,1.03,0,17.99,0,0,0.92,1.28,0,0,0,0
 84-94,0,3.32,64.01,0,0,0,0,0,0,2.31,0
 96-106,0,0,39.51,0,0,2.26,0,0,0,0.89,0
108-118,1.16,0,26.22,0,0,2.41,0,0,0,0.84,0
120,0,0,26.25,0,0,0,0,0,0,0,0
