stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,19.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.61,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.99,17.2,0,0,3.79,0,0,0,0,0,0
 14-21,0,0,0,0.81,1.11,0,7.62,0,0,0,0,0,0,0,0,1.51,0,23.6,2.52,0,1.07,0,0,3.48,0,0,3.64,0
 24-34,0,0,0,0,0.98,0,25.85,0,0,0,0,2.26,0,0,0.65,0,0,21.23,0,4.18,0,0,0,0.81,2.29,0,10.32,1.77
 36-46,0,0,0,0,0,0,8.59,2.33,0,2.44,0,0,0,0,0,3.57,1.77,30.24,0,0.61,0,0,0,0,0,0,6.39,0
 48-58,0,0,0,0.38,0,0,13.57,0,0,0,0,0,0,0,0,1.03,0,15.55,0,2.63,0.37,0,0,0,0,0,1.79,0.53
 60-70,0,0.95,0,0,0,0,15.97,0,1.46,1.18,0,3.78,0,0,2.11,0.68,0,17.22,0,0,0,0,0,0,0,0,0,0.79
 72-82,0,0,0,0.54,0.65,0,6.02,0,0.89,1.55,1.17,6.76,0.66,0,97.21,3.93,0,33.99,0,0,1.73,0,0,1.78,2.47,0,2.2,6.94
 84-94,0,0,0,0,8.12,0.6,13.91,0,1.79,6.78,0,1.68,2.93,0,88.92,2.84,0,9.3,0,0,1.34,0,0,0,2.39,0,0,0.58
 96-106,0,0.69,0,0,10.84,9.11,42.67,0,2.93,1.29,10.18,0.86,1.87,0,138.87,14.3,0,42.54,0,0,0,0,0,1.33,3.48,0,0,3.96
108-118,0,0.57,0.61,0.87,0,5.32,22.42,0,0.84,3.83,3.56,0,0.71,8.15,279.42,11.95,1.22,45.33,0,0,1.79,0,3.67,4.06,4.17,0.56,0,2.68
120,0,4.41,0,0,0,1.14,9.93,0,0,0,0,11.38,0,0,76.44,9.85,0,17.63,0,0,0,0,0,0,4.29,0,0,0
