stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,mesenchyme,mucous,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,8.69,0,0,2.16,0,0.84,3.37,0,0
 24-34,0,0.85,0,2.49,0,0,0,0,0,1.06,0,23.22,0,1.29,4.79,0,1.53,1.48,0,0
 36-46,0,0.85,0,1.61,0.62,0,0,0,0,0,1.37,14.31,0,0,12.65,0,0,1.77,0,0
 48-58,0,0.84,0,5.24,0,2.29,0,1.64,0,6.1,0,2.72,3.56,0,0.39,1.07,0,0.79,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,5.6,0.62,0,12.44,0,0,0,0,0
 72-82,0,0,0,7.52,0,7.44,0.94,0,0,2.25,0,4.06,0.54,0,0,0,0,0,0.93,0
 84-94,1.46,0,0,0,2.47,7.34,0,0,0,0,0,2.08,3.34,0,0,0,0,0.65,0,0
 96-106,0,0,0,0,0,1.85,0,0,0,0,0,1.55,0,0,1.84,0,0,0,0,1.44
108-118,0,0,0.94,5.06,0,2.71,0.78,0,1.08,6.85,0,1.11,0.43,0,1.73,0,0,0.71,0,1.96
120,0,0,0,8.06,4.45,0,0,0,0,13.53,0,18.18,0,0,1.28,0,0,0,0,0
