stage,blastomeres,epidermis,eye,gut,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,periderm
  3-4,23.96,0,0,0,0,0,0,0,0,0,0
  5-6,19.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.22
 14-21,0,0,0,0,0,0,0,0,0,0,0.91
 24-34,0,0,0,0,0,0,0,0,0,0,8.42
 36-46,0,0,0,0,0,0,0.61,0,0,1.72,0
 48-58,0,0,0,0,0,0,0,0,0,10.03,4.04
 60-70,0,0,0,0,0,0,0,0.81,0,1.61,5.6
 72-82,0,0.96,0,0,0,0,0,0,0.78,2.29,2.23
 84-94,0,0,2.95,0,0,0.6,0,0,0,2.59,7.47
 96-106,0,0,5.01,0,1.8,0,0,0,0,0,17.83
108-118,0,0.99,0,0.9,3.3,0,0,0,0,1.57,2.36
120,0,0,0,0,0,0,0,0,2.53,0,1.48
