stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,255.07,6333.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.74,0,0,0,0,0,0,0,0,0,0,0
  5-6,154.24,4900.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.02,0,0,0,52.06,79.85,0,0,0,0,0,0,0,0,0,0,0
  7-9,61.84,95.9,0,114.96,0,0,0,206.73,0,0,0,0,0,55.93,0,0,0,0,0,0,0,0,0,0,1824.22,14.07,0,0,532.13,0,14.67,0,0,0,0,0,0,0,0,0,0
 10-12,0,50.7,0,42.21,0,0,0,120.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395.48,54.92,0,0,342.77,0,0,0,32.78,0,7.28,0,0,0,0,0,0
 14-21,0,0,0,12.13,47.4,9.02,0,23.23,0,0,0,10.32,3.89,0,0,0,1.71,0,0,0,27.98,0,0,13.98,378.18,8.85,7.88,1.71,6.09,0,0,19.86,2.43,1.33,21.1,104.73,0,0,3.6,0,0
 24-34,0,0,0.62,3.34,14.85,0.83,0,40.57,0,0,0.62,6.68,1.33,0,0,0,1.29,9.21,2.02,1.13,37.93,1.32,0,11.07,470.99,2.17,4.22,2.87,0,11.6,0,0,0.64,0,1.98,80.39,0,0,8.25,0,0
 36-46,0,0,0,0,2.85,0.76,0,52.11,0,0,0.78,15.47,0.61,0,0,0,2.52,0.62,2.68,1.07,28.7,0,1.06,1.91,430.12,0,7.83,11.84,0,14.35,1.56,0,0,0,0,77.29,0,0,1.15,0,0
 48-58,0,0,0,0,9.85,0,0,65.72,0,0,0.42,32.21,0.51,0,1.45,0,6.85,0,0.38,1.59,25.7,0,1.63,2.76,300.56,0.41,0.39,1.74,0,12.08,0,0,0.53,0,0,42.63,0,0,2.32,0,1.18
 60-70,0,0,0,0,6.77,0,0,87.59,0,1.49,1.93,37.47,1.75,4.48,0,0,4.23,0,1.52,0,42.02,0,3.17,1.25,326.12,0,7.02,3.43,0,48.65,0,0,0,0,0,49.75,0,1.19,0,0,0
 72-82,0,0,0.54,0,7.17,0,0,91.44,0,0,0.6,25.22,3.72,0.51,0,0,1.42,0,1.13,1.05,50.08,1.12,2.55,4.59,311.54,2.01,3.1,3.09,0,36.22,0,0,0,0,0,55.54,0,1.62,12.34,1.78,9.42
 84-94,0,0,0.66,0,9.43,0,0,41.66,0,0,2.13,19.67,0,3.65,1.01,0,2.09,0,1.03,0,18.8,0.93,2.14,4.61,145.13,1.27,7.97,6.7,0,121.28,0,0,1.97,0,0,1.78,1.06,0.89,4.49,0.75,9.21
 96-106,0,0,1.11,0,12.52,0,1.14,36.67,0,1.4,3.32,43.28,4,0,0,0,2.94,0.76,1.14,0,52.04,1.8,0,3.38,129.28,0,0.64,8.56,0,102.04,0,0,1.33,0,0,19.86,0,1.75,3.38,0,0
108-118,0,0,2.49,0,20.47,0.49,0,44.2,0,0.87,1.26,26.68,2.82,0,1.25,2.63,9.65,0,11.17,0.56,50.77,4.52,8.4,1.28,187.46,0,0.68,3.31,0,79.83,0,0,0.81,0,0,8.03,1.83,1.11,2.95,0.5,0
120,0,0,4.32,0,8.99,5.19,0,29.06,12.08,3.69,0,18.06,10.73,0,0,1.19,9.46,0,0,0,27.02,6.24,0,4.21,375.1,0,1.48,1.12,0,96.86,0,0,0,0,0,7.74,0,0,3.48,0,0
