stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,70.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.28,5.29,0,0,13.77,0,0,0,4.44,0,0,0,0,0,0,0
 14-21,0,0,0,4.29,0.86,0,5.1,0,0,0,1.07,0,0,0,0,0,0,0,0,1.37,0,0,0,35.36,0,0,0,0,0,0,0.83,3.07,0,5.45,0,0,0,0,0
 24-34,0,0,0,3.52,0,0,8.74,0,0,0,3.54,0,0,0,0,0,0,0,0,3.49,0,0,0,131.03,0.69,0.67,1.43,0,0,4.11,0,0,0.64,22.1,0,0,1.22,0,0
 36-46,0,0,0,1.08,0,0,9.9,0,0,0,4.02,0,0,0,0,0,0,0,4.5,6.26,0,0,0.72,93.27,0,3.42,10.18,0,0,5.74,0,2.25,0,27.78,0,0,0,0,10.47
 48-58,0,0,0,0.88,0,0,30.92,0.67,0,1.13,12.61,0.69,0,0,0,0,0,0,0,14.3,0,0,1.35,79.19,0,3.67,2.11,0,0,0,0,0,0,24.29,0,0,1,0,0
 60-70,0,0,0,0,0,0,43.92,0,0,0.57,14.08,0,0,0.65,0,0,0,0,0,31.37,0,0,2.87,32.52,0,3.69,0,0,0,0.83,0,0,0,15.79,0,0,4.24,0,0
 72-82,0,0,0,1.19,0,0,17.4,0,0,0.7,11.99,1.81,0.58,0,0.52,0,0,0,0,42.79,0,0.7,1.81,28.12,0.72,0,5.2,0,0,1.53,0,0,0,7.36,0,0.92,3.25,2.3,0
 84-94,0,3.51,0,4.08,0.84,0,14.71,0,1.15,0,24.51,1.03,0,0,2.18,0,0.61,0,0,15.92,0,1.56,0.59,17.35,1.46,1.84,11.6,0,0.83,3.38,0,0,0,4.46,0,0.58,0,1.23,0
 96-106,0,0,1.03,5.64,0,0,21.16,0,0,0,30.56,2.45,0,0,0,0,2.78,0,0,18.11,0,1.11,0,34.61,0.81,1.03,7.38,0,0,2.14,0,0.67,0,0,0,0.68,4.22,0,0
108-118,0,0,0,9.01,0,1.04,14.8,3.52,1.9,0,15.04,0,0,0,0,0.42,0.48,1.32,0,27.49,3.79,0,2.38,40.96,0,0,5.77,0,0,0.48,0,0,0,0.45,1.23,0,3.57,2.81,3.13
120,0,0,0,3.75,1.32,0,11.44,0,1.13,0,19.78,4.66,0,0,0,0,4.83,0,0,35.06,0,2.35,3.76,13.2,2.14,3.8,11.65,0,0,0,0,0,0,0,0,0,1.72,0,0
