stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0.95,0,0,0,0,0,0,0,0,0.83,0,1.98,17.58,0,0,0,0.91,0,0.91,3.33,0,0
 24-34,0,1.44,0,0,0,0.66,0,0,0,1,0,0,18.01,0,0,0,0,0,0,10.65,0,0
 36-46,1.36,2.62,0,0,0,0,0,0,0,0.89,0,0,60.67,0,0,0,0,0,0,9.94,0,0
 48-58,0,2.82,0,0,0,0,0,0,0,1.4,0,0,48.02,0.75,0,2.99,0,0,0,6.69,0,8.47
 60-70,0,31.01,0,0,0,0,0,0,0,0.91,0,0,58.51,0,2.12,0,0,0,0,3.77,0,6.71
 72-82,2.27,21.15,0,0,3.79,0,0.89,0.99,0,6.64,0,0,30.51,0,0,0,0,0,0,1.77,0.5,2.23
 84-94,0,25.65,0,0.75,1.46,0,0,0,0,2.36,0,0,22.26,0,0,0,0,0,0,4.04,0,0
 96-106,0,14.44,0,0,3.11,0,0,0,0.57,0.73,0,0,45.27,0,2.01,0.65,0,0,0,7.5,1.26,0
108-118,0.44,18.86,0,1.03,5.76,0,0,0,0,6.48,0,0,44.57,0,0.82,5.97,0,0,0,6.51,0,0
120,1.24,36.3,1.12,0,8.94,0,0,0,0,29.41,2.91,0,87.22,0,5.76,2,0,2.12,0,0,0,0
