stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,1259.8,3366.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.1,0,0,0,0,0,0,0,0,0
  5-6,1239.89,1903.14,12.33,0,0,0,0,0,0,0,132.59,0,0,0,0,0,0,0,0,409.5,16.84,0,0,145.81,57.83,0,0,0,0,0,0,0,0,0
  7-9,196.14,74.04,42.85,0,0,109.71,0,0,0,0,760.71,0,0,0,0,0,0,0,0,125.18,36.6,0,0,2083.11,0,10.09,0,0,0,0,0,0,0,0
 10-12,0,30.61,165.37,0,0,346.21,0,0,0,0,100.18,0,0,0,0,0,0,0,0,941.68,9.39,0,0,3026.71,0,5.62,31.47,55.57,0,150.21,0,0,0,0
 14-21,0,0,0,29.53,1.26,24.77,0,0,4.25,1.79,0,0,0,0,0,0,15.7,0,160.87,129.29,8.07,1.93,0,40.42,0,0,369.74,0.86,62.33,1243.04,29.66,0,0,0
 24-34,0,0,0,25.33,0,0,1.61,0,6.69,0,0,2.16,0,0,0,0,25.98,0,54.1,37.36,0.63,0.67,0,0,0,0,1.02,0,5.37,66.67,4.28,0,0,0
 36-46,0,0,0,9.45,0,3.19,0,3.98,4.04,0,0,0,0,0,2.23,0,20.8,0.65,19.82,41.05,0,0.68,0,0,0,0,0,0,3.57,0,4.64,0,0,0
 48-58,0,0,0,19.9,0,2.05,0,0.81,1.3,0,0,1.16,0,0.39,1.96,0,1.57,0,8,8,0,0.92,0,0,0,0,0,0,0,0,3.42,0,0,0
 60-70,0,0,0,21.16,0,3.67,0,0,5.24,0,0,0,0,0,0,2.31,11.53,0,5.68,21.24,0,1.24,0,0,0,0,1.38,0,2.29,0,3.49,0,0,0
 72-82,0,0,0,6.8,0,2.65,0,0,3.35,0,0,0.75,0.58,0,0,0,3.74,0,0.58,7.45,0,2.03,0,0,1.31,0,0,0,0,0,4.1,0,0,0
 84-94,0,0,0,3.6,0,2.71,0,0,0,0,0,0,0,0,0,0,10.49,0,0,0.65,0,2.72,0,0,0,0,0,0,0.73,0,0,0,0,0
 96-106,0,0,0,5.97,0,4.26,0,0,4.29,0,0,0,0,0,0,0,4.61,0,0,7.78,0,3.01,0,0,0.82,0,0,0,0,0,1.86,1.14,10.06,0
108-118,0,0,0,5.23,0,7.17,0,0,0.82,0,0,4.54,0,0,0,0,2.67,0,1.35,2.31,0,4.07,0.83,0,0,0,0,0,0,0,0,0,0,0.69
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0
