stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,2057.53,31518.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639.73,0,0,0,0,0,0,0
  5-6,5841.4,62115.96,153.02,0,0,0,0,0,155.98,0,0,0,0,0,0,0,3443.74,132.26,0,1188.97,637.17,0,0,0,0,0,0,0
  7-9,875.08,1401.84,1545.42,0,5.98,663.2,0,0,436.57,0,0,0,0,0,0,0,32453.16,703.18,0,21010.27,74.33,52.41,0,0,0,0,0,0
 10-12,0,103.84,114.59,0,23.57,68.84,0,0,3.97,0,0,0,0,0,0,0,3196.04,17.02,0,1058.5,0,12.01,0,55.9,0,0,0,0
 14-21,0,0,0,13.03,6.13,4.07,0,3.89,0,0,0,0,0,13.19,0,6.5,66.56,2.08,0,16.64,9.29,0,172.29,0.84,35.93,24.29,0,3.78
 24-34,0,0,0,4.18,0,4.88,0,0.6,0,0,0.7,0,0.7,10.31,0,3.68,25.28,0,0.65,0,0,0,0,0,7.42,16.94,0,1.15
 36-46,0,0,0,0.65,0,0.89,0.75,0,0,0,0,1.49,0,5.21,0.67,3.51,36.16,0,0,0,0,0,0,0,0,4.2,1.04,2.4
 48-58,0,0,0,3.22,0,1.15,1.87,0.99,0,0,0,0,0.42,3.8,9.5,0.38,20.25,0,0,0,0,0,0,0,0,2.13,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,29.04,0,0,0,0,0,0,0,0,5.04,0,0
 72-82,0,0,0,2.16,0,4.18,5.04,1.53,0,0,0,0,0.64,23.38,2.89,0.68,16.79,0,0.62,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,3.15,0,0,1.84,0,0,0,5.6,0,1.83,9.64,0,0,0,0.77,0,0,0,0,5.73,0,2.29
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,12.74,0,0.87,5.84,0,0,0,0,0,0,0,0,3.25,0,0
108-118,0,0,0,0,0,0.56,3.87,1.35,0,0,0.43,0,0,5.87,0,2.52,11.03,0,0,0,0,0,0,0,0,8.95,0,0
120,0,0,0,3.89,0,12.81,0,20.22,0,0,0,0,0,0,0,2.04,27.83,0,0,0,0,0,0,0,0,0,0,0
