stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,11.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,25.75,0,0,61.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.88,0,0,28.38,0,0,5.73,0,0,0
 14-21,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,4.88,0,0,1.03,0,1.06,1.74,0,0,0
 24-34,0,1.62,0,0,0,1.39,0,0,0,0,0,0,0,0,0.97,0,12.23,0.67,0,0,0,0,0,2.06,0,0
 36-46,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,5.64,0,0,0,0,0,0,6.5,5.71,0
 48-58,0,0.53,0,0.9,0,0.5,0,0,0.67,0,0,0.46,0,0.83,1.13,0,20.83,0,0,0,0,0,0,0.99,0.48,0
 60-70,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,3.6,0,12.81,0,0.67,0,0.73,0,0,0,0,0
 72-82,0,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,5.57,0,0,0,0,0,0,0,1.31,0
 84-94,0,3.51,0,0,0,1,1.19,0,0,0,0,0,0.6,0,0,0,8.17,1.4,0,0,0,0,0,7.18,0,0
 96-106,0,7.31,0,0,2.96,1.6,0,0,0,0,0,0,0,0,2.23,0,3.21,0,0,0,4.9,0,0,0,0,0.76
108-118,0,3.2,0,0,0,5.98,0,1.5,3.76,2.18,0,2.22,0,0,5.44,0,3.05,0,0,0,0,0,0,0,0,0
120,0,1.22,0,0,0,0,0,0,0,0,3.13,0,0,0,0,2.74,0,0,0,0,0,0,0,0,0,0
