stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,ionocyte,melanocytes,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.12,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,33.52,0,0,0,0,0
 14-21,0,0.93,3.99,0,0,0,0,0,0,1.07,1.07,0,0.82,0,0,0
 24-34,0,0,0,0,0.85,0,0,0,0,0,0,0.95,0,0.69,0,0.62
 36-46,0,0,0,0,0,0,0,0,0.66,0,1.53,0,0,0,1.09,0
 48-58,0,0,0,0,0,0.68,0,0,0,0,1.83,0,0,0,0,0
 60-70,0,0,0,0.6,0,0,0,0,0,0.58,0,0,0,0,0,0
 72-82,0,0,0,0.87,0,0,0,0,0,0,0,1.38,0,0,0,0
 84-94,0,0,0,3.95,0,1.03,1.43,0,0,1.22,0,2.48,0,2.13,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78,0
108-118,0,0,0.42,0.45,0,0,3,0.71,0,0,0,0,0,0,0,0
