stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.29,337.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,328.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.6,0,0,0,0,0,150.82,0,0,0,0,0,0,0,0,0,0,0,97.34,0,0,0,13.49,0,0,7.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.51,20.89,0,0,0,24.18,0,0,0,0,0,173.95,0,0,0,0,0,0,0,0,0,0,0,213.89,15.61,0,0,39.86,0,0,0,0,13.34,0,0,0,0,0,0,0,0
 14-21,0,0,6.07,384.97,168.8,0,17.38,0,3.8,0,3.3,17.92,3.16,1.99,2.37,1.14,0,0,4.68,0.91,18.59,1.19,0,14.43,62.58,6.92,0,17.16,0.84,0,317.18,0,1.81,4.22,10,16.48,33.05,0,0,36.87,0,1.27
 24-34,0,0,1.31,494.18,23.37,0,30.45,0,49.78,0,1.15,1.65,0,37.24,3.82,5.48,1.57,9.96,2.94,25.16,91.05,12.44,0,46.25,217.03,28.02,3.49,11.16,0,2.6,1099.88,0,0,11.95,8.26,24.51,36.58,0,0,242.19,0,11.63
 36-46,0,0,0,366.12,6.55,0,18.05,20.68,121.33,2.77,2.55,0,0,32.73,29.46,5.38,2.01,10.57,1.56,35.38,130.46,2.88,1.93,49.19,127.63,67.17,5.18,6.28,7.09,0.77,1420.14,0,0,3.89,13.74,0,31.45,0,0,91.9,0,16.07
 48-58,0,0,0,181.89,6.16,0,17.99,7.35,117.22,4.46,11.17,1.51,3.16,18.4,16.71,2.43,6.96,5.9,2.39,56.61,174.45,3.5,3.96,22.31,150.18,43.7,0.37,12.76,0,1.13,747.86,0,0,2.45,3.42,2.82,21.64,0,0,121.6,0,76.6
 60-70,0,0,0,135.49,21.43,0,39.81,9.08,117.27,2.38,28.35,1.6,0,8.25,14.09,0.58,7.76,1.21,0,30.07,385.74,4.67,13.34,33.37,121.9,17.1,1.08,37.63,0,1.21,665.44,0,0,1.41,0,0,8.49,0,4.07,157.02,0,52.33
 72-82,0,0,0,105.61,50.98,0,63.29,8.34,104.13,2.4,42.77,5.58,1.18,14.46,8.78,4.12,1.75,15.85,0,25.27,740.55,2.32,23.1,24.62,134.43,18.32,2.36,24.04,0,2.36,343.28,0,0,5.31,0,0,11.27,1.87,6.39,237.48,5.3,68.15
 84-94,0,0,0,129.24,7.9,0,48.5,7.81,94.17,6.56,25.38,9.53,2.46,20.23,15.4,5.65,10.13,4.11,0,76.83,572.13,10.76,31.37,20.2,104.72,14.25,5.63,23.14,0,0,955.59,0,0,11.23,0,0,5.85,0,5.4,242.56,9.14,35.47
 96-106,0,0,0.86,158.79,105.75,0,58.27,7.48,68.28,3.77,32.31,11.12,0,12.05,17.59,10.38,14.78,10.56,5.84,42.59,533.52,9.21,6.51,16.59,124.85,12.48,6.77,38.43,0,0.97,758.08,0,0,5.81,1.61,0,5.92,0,12.66,316.85,15.56,34.6
108-118,0,0,1.03,188.46,50.57,6.29,50.18,4.72,95.73,4.7,45.14,21.84,0,4.35,11.4,16.12,25.89,10.06,10.87,80.65,478.06,11.51,19.99,30.34,83.53,4.15,7.2,33.86,0,15.52,819.32,0,0,7.73,0.69,0,1.68,1.76,9.73,286.66,9.46,57.76
120,0,0,0,199.25,77.47,0,55.49,4.93,81.91,9.65,38.51,30.99,5.2,3.15,62.9,10.49,40.4,12.98,1.84,38.78,529.81,5.82,67.93,30.46,88.18,14.45,14.54,37.65,0,26.47,487.16,0,0,13.03,1.32,0,1.75,1.19,17.11,313.28,9.85,25.22
