stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,30.86,456.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0
  5-6,50.45,1025.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.23,0,0,0,0,20.44,0,0,0,0,0,0,0,0
  7-9,14.27,24.86,0,35.44,0,0,78.94,0,0,0,0,7.5,0,0,0,0,0,0,551.26,25.44,0,0,190.4,5.78,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.42,0,8.32,20.89,0,0,0,0,9.39,0,0,0,0,0,0,277.67,18.27,0,0,78.29,0,5.33,3.37,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,1.23,0,0,1.1,7.66,1.25,0,0.88,0,0,0,0,2.54,0,0,0,0,0
 24-34,0,0,0,0,0.77,0,1.5,0,0,0,0,0,0,0,4.75,0,0,4.06,29.54,0.95,0.67,0.79,0,1.79,0,0,0.69,5.45,0,0,0,0
 36-46,0,0,0,0,0,0,0.56,0,0,0.84,0,0,0,0,1.99,0,0,0,21.89,0,1.56,0,0,0.58,0,0,0,1.92,0,0,0,0.71
 48-58,0,0,0,0,0.41,0,8.64,0,0.4,2.21,0,0.93,0,0,5.32,0,2.17,1.58,26.25,0,0.38,0,0,2.89,0,0,0,9.65,0,0,6.48,0
 60-70,0,0,0,0,1.02,0,1.24,0,0,0.78,0,0,0,0,4.94,0,0,2.08,24.28,0,0,0,0,0,0,0,0,6.73,0,0,0,0
 72-82,0,0,0,0,0,0,18.58,0,0.94,1.61,0,0,0,0,15.63,0.93,0.55,0,49.88,0,0.67,0,0,2.35,0,0,0,1.17,0,0,1.09,0
 84-94,0,0,0,0,0,0.92,11.9,0,0,1.4,1.01,0,0.56,0,12.41,1.71,0,0.74,24.5,0,0,0.65,0,9.99,0,0,0,8.01,0,0,0.62,0
 96-106,0,0,0.99,0,0,0,6.88,1,0,3.26,1.36,0,0.62,0,8.08,0,2.11,0,25.87,0,2.82,3.21,0,1.18,0,1.27,0,0,1.83,2.03,0.85,0
108-118,0,0,0,0,1.17,0,2.9,0.42,0.46,2.15,0.67,0,0,0.57,16.13,0,0,3.02,22.7,0,0.81,0.74,0,8.99,0,0,0,0,0,0,0.97,6.91
120,0,0,0,0,3.55,0,13.32,0,0,12.93,0,0,1.93,0,43.94,0,0,0,10.27,0,0,0,0,6.06,0,0,0,0,0,1.46,0,0
