stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,neural,periderm,somites,xanthophores
  3-4,71.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.11,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.57,0.8,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53,75.37,0,0
 36-46,0,0,0,0,0,0,0,0,0.89,0,0,4.38,0,1.04,72.21,0,0
 48-58,0,0,0,0,2.26,0,0,0,0,0,0,2.51,0,7.22,42.03,0,1.07
 60-70,0,0,0,0,0,0,0,0,0,0,0,7.26,0,0.69,25.85,0,0
 72-82,0,0,0,0,5.81,0,0,0,0,0,0,1.25,0,0,21.6,0,0
 84-94,0,0,0,0,0,0.78,1.29,0.66,0,1.88,5.56,0,0,0.99,65.11,0,0
 96-106,0,0,0,0,4.31,2.24,0,3.28,0,0,0,0,0,1.66,92.06,0,0
108-118,0,0,4,0,0,0,0,3.07,0,1.11,0,1.28,0,6.13,103.78,0,0
120,0,0,5.51,6.81,6.04,1.22,0,14.3,0,0,0,0,1.46,0,31.24,0,0
