stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,5.08,4.57,0,0,106.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.94,0,0,519.69,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,1985.54,0,0,0,8.98,0,0,0,0,0,0,0,0,0,0
 14-21,0,17.63,30.08,0,2.58,0,0,3.12,0.92,6.11,0,0,0,0,1.76,8.56,0,0,1.43,2126.01,2.92,0,0,1.09,0,2.91,0,1.23,38.74,0,0,0,0,0
 24-34,0,39.6,4.33,0,18.29,0,0,39.53,0,0,0.68,0,0,0,9.7,7.43,0.65,0,3.42,3818.5,0,0.96,0,0,2.14,0,0.76,0,110.16,0,0,9.89,0,0
 36-46,0,5.97,3.59,0,26.91,0,0,76.76,0,0,0,0,0,0,1.07,2.72,0,0,1.26,3269.56,3.37,1.5,0,0,0.78,0,0,0,89.15,0,0,0,0,1.43
 48-58,0,2.31,4.09,0,53.88,0,0.42,98.14,1.2,0,0,0,0,0,0,14.37,0.49,0.47,0,2384.27,0,0,0,0,1.45,0,0,0,24.44,0,0,0,0,5.36
 60-70,0,0,0,0,31.21,0,0,96.83,2.07,0,0,0,0,0,0,3.72,0,0,0.68,1426.93,0,0,0,0,0,0,0,0,11.2,0,0,5.41,2.76,0
 72-82,0,0,7.65,0,114.21,0,0,201.26,5.98,0,0,0,0,0,0,13.48,0,0,0.54,1668.56,0,0,2,0,1.93,0,0,0,0,0,1.32,9.42,0,0
 84-94,0,0,18.74,0.69,93.15,3.98,0,166.78,10.09,0,0,0,0,0.67,0,26.18,0,0.66,7.25,1171.34,0,0,5.67,0,0,0,0,0,20.99,3.63,2.61,1.76,1.73,0
 96-106,0,0,14.94,0,68.95,1.24,1.06,200.91,17.5,0,0,1.44,0.57,0,0,6.51,0.9,5.41,0,923.05,1.72,0,0,0,0.79,5.86,0,0,1.42,0,0,0.71,1.88,0
108-118,0,0,18.81,0,13.83,0,0,168.07,6.16,0,1.44,0,0,0,0,24.67,0,0,2.97,1502.51,0,6.47,0,0,1.5,1.53,0,0,0,0.52,0,0,0,3.17
120,0,0,13.18,0,53.85,0,0,138.29,5.77,0,0,3.6,0,0,0,27.84,0,0,0,1521.34,0,0,14.75,0,0,0,0,0,0,0,0,0,0,0
