stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,48.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.25,0,0,0,9.05,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,4.32,0,0,1.13,0,0,4.23,2.73,0,0,0,0,0,0,7.98,0,0,1.82,37.3,1.18,0,0.94,0.97,0,0,0,0,1.03,31.48,0,0,0,0,0
 24-34,0,0,6.28,0,0,0,1.74,0,1.23,10.42,2.8,0,0,0,0,0,0,0,0,0,1.95,14.1,0.7,0,0,0,0,0,1.71,0,0,23.28,0,0,0,0,0
 36-46,0,0,1.11,0,0,0,1.64,0,0,61.97,0,0,1.79,0,0,0,0,6.21,0,0,0.72,17.22,0,0,0,0,0,2.15,1.34,0,0,87.81,0,0,0,0,0
 48-58,0,0,0,6.06,1.55,0,89.36,0,0,606.99,0,0,0,0,0,2.56,0,7.16,0,0,5.07,21.08,0,0,3.07,0,0,0.72,0,10.95,0,657.24,0,0,0.44,0,6.14
 60-70,0,0,0,23.93,0,0,58.58,0,0,3187.28,1.9,2.01,0,0,0,0,0,35.09,0,2.45,1.85,77.51,0,0,17.82,0,0,13.52,0,5.46,0,1438.2,0,0,0,0.81,4.29
 72-82,0,0.83,0.75,7.55,4.65,0,319.11,5.74,0.79,6689.82,0.74,0.54,0,0,0,0.96,0,76.69,0,2.6,7.58,138.02,0,2.41,22.29,0,0.71,0.96,2.13,0.53,0,1076.99,0,0.87,1.51,2.58,0.55
 84-94,0,0,0,14.46,2.38,0,250.92,0,0,5990.35,0.87,0.82,0,0,2.69,0,0,40.43,2.87,2.35,1.59,77.82,0,1.95,18.35,0,0,0.6,3.66,0,0,1326.65,1.45,0,0,0,1.31
 96-106,0,0,0,40.65,13.18,1.37,249.15,4.58,2.35,5283.41,3.18,7.54,1.13,0.63,0,3.52,1.15,114.37,0.68,1.06,14.24,209.1,0,1.82,77.38,0,0,12.01,2.53,0,0,1371.97,0,8.56,7.35,2.56,0
108-118,0,0,0,58.46,7.21,0.78,272.57,1.76,1.75,6208.52,3.14,4.19,6.81,0.57,0,1.19,0,155.33,0,11.66,15.71,228.69,2.14,1.69,37.75,0,0,8.47,9.4,1.15,0,878.17,1.81,3.25,3.85,1.13,15.49
120,0,0,0,18.84,3.22,0,136.43,2.42,0,4359.74,6.68,9.42,4.54,0,0,0,0,84.9,0,8.3,38.59,125.66,6.07,0,43.02,0,0,1.17,3.74,0,0,709.52,0,0,2.03,3.79,0
