stage,endoderm,epidermis,eye,glial,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.94,0,0,0,0,0,0,0,0
 10-12,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.23,0,0,0,0,0,0,0,1.39,0,5.46,0,0,0,0.83,0.98,1.05,0,0
 24-34,0,0.83,0,0.66,0,0,0,0,1.97,0,0.81,5.04,0,0,2.05,0,0,0,0,0
 36-46,0,0,0,0,0.99,0,0,16.86,0,1.21,0,0.97,2.52,0,0,0,0,0.93,0,0
 48-58,0,0,0,0,0,4.18,0,0,0,2.5,0.39,0.54,4.59,0,0.76,0,0,1.17,1.61,0
 60-70,0,0,0,0,0,0,0,0,0,1.58,0,8.23,0.58,0,2.12,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,1.15,0,1.06,0,0,0,0,0,0,0,0
 84-94,0,0.9,0,0,0,0,1.14,0,0,0,0,17.75,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0.77,0,0,0,1.5,0,0,0,0,0,0.86
108-118,0.74,0,0,0,0,0,0,0,0,9.24,0,3.69,0,0,0,0,0,0,0,0
120,0,1.25,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0
