stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,42.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.52,0,0,0,0,0,0,0,0
  5-6,0,25.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.21,0,0,0,4.02,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.02,0,0,0,4.14,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,14.38,2.75,21.35,0,0,0,4.51,0,1.01,0,0,0,5.92,0,0,0.87,94.79,0,0,1.24,0.94,0.92,14.54,14.87,18.27,0,0,8.83,0,0
 24-34,0,0,0,0.67,4.32,6.91,0,0,0,0.84,0,0,2.05,0.65,1.4,8.45,0,0,5.5,72.12,0,0,0,0,2.36,0,1.42,12.53,0,0,8.84,0,0
 36-46,0,0,0.96,0.71,0,11.05,4.15,0,0.58,3.66,0,0,0,0.61,0,8.58,0,0,0.55,68.53,0,0.59,0,0,0,0,0,14.53,0,0,3.56,0,0
 48-58,0,0,0,0,0,15.33,0,0,0,2.85,0,0,0.4,0,4.74,2.4,0.8,0,0.79,31.3,0.44,1.7,1.85,0,1.18,0,0,13.06,0,0,1.45,0,1.38
 60-70,0,0,0,3.53,0,12.14,0,0,8.77,22.27,0,0,0,0,0.68,12.49,0,0,0.67,31.95,0,0,0,0,0.65,0,0,0,3.21,0,2.95,0,0
 72-82,0,0,0,1.38,1.48,7.26,0,0,0.68,0.6,0,0,0,1.53,2.16,13.4,0,0,0,23.7,0.89,0,0,0,0,0,0,0,0.51,0,1.59,0,0
 84-94,0,0,0,0,0,8.6,0,0,0.65,0.73,0,1.44,4.18,0,3.23,11.99,0,0,2.13,21.03,0,4.44,0.97,0,0.64,0,0,2.72,0,0,0,3.53,0
 96-106,0,0,0,0.72,0,13.01,0,0,0.99,1.32,1.61,0,0,0,16.08,12.27,0,0.94,0,37.57,0,0,0,0,0.92,0,0,2.84,0,0,3.12,0.64,0
108-118,0,0,0,2.66,1.51,20.45,0,1.07,0,6.97,0.85,0,1.5,0,13.06,15.84,0,0,2.21,25.81,0.69,0.42,0,0,4.08,0,0,0,0,0,1.45,1.68,0
120,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,24.02,0,0,0,0,30.72,0,3.68,0,0,4.61,0,0,0,0,2.15,8.61,0,2.59
