stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.65,1208.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.01,0,0,0,0,0,0,0,0,0
  5-6,33.14,1693.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.72,7.03,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0
  7-9,13.49,19.84,0,37.04,0,0,0,47.11,0,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0,684.84,9.47,0,0,226.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.57,0,7.42,0,0,0,19.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.45,0,0,0,34.94,0,0,0,3.38,0,0,3.28,0,0,0,0
 14-21,0,0,0,2.45,22.56,3.91,0,9,0,0,4.06,3.28,0,0,0,0.92,0,0,0.93,0.86,9.98,0,6.65,273.69,4.05,1.04,3.73,3.07,0,8.23,32.65,0,0.81,15.17,53.78,0,0.9,0,0
 24-34,0,0,0,0.79,3.52,0,0,23.08,0,0.99,6.29,0,0,0,0,0,7.72,0,0.84,1.56,13.7,1.63,3.45,207.83,0,2.69,1.77,0,0,0.69,0,1.91,0,2.59,42.82,0,2.45,0,0
 36-46,0,0,0,0,0,0,0,26.12,0,0,10.6,0,0,0,0,0,1.08,0,0,0,6.62,1.73,5.78,202.86,0,1.01,1.49,0,0,15.33,0,0,0,0,51.52,0,1.49,0,0
 48-58,0,0,0,0,1.96,0,0,34.14,0,0.88,9.26,0,0,0,0,0,0.38,0,0.87,0,17.04,3.61,1.2,75.39,0,1.87,0,0,0,0.81,0,0,0,0,28.27,0,6.01,0,0
 60-70,0,0,0,0,6.63,0,0,24.45,0,0.86,20.41,0,0,0,0,0,0,1.55,0,0,22.75,0,0,86.19,0,0,0,0,1.19,0,0,0,0,0,7.79,0,2.41,0,0
 72-82,0,0,0.5,0,1.36,0,0,50.39,0,0,15.88,0,0,2.04,1.28,3.48,0.49,0.49,0,2.32,19.44,2.18,0,70.19,0,0,2.71,0,0,2.74,0,0,0,0,11.32,0.87,7.85,0,0.63
 84-94,0,0,0,0,4.46,0,0,4.39,0,0,5.34,0.62,0,1.1,0.97,0.76,0,0,0,0,15.79,0,4.43,20.42,0.72,1.83,0,0,0,3.78,0,0,0,0,8.75,0,0,1.53,0
 96-106,0,0,0,0,2.32,0,0,14.52,0.95,0,4.92,0,0,2.85,4.56,0,5.57,0,0.59,0,8.8,0,0.83,27.45,0,0,0,0,0,4.82,0,0,0,0,13.08,0,4.69,0,7.14
108-118,0,0,0,0,1.96,0,0.55,14.08,0,0,20.5,0,0,0,1.77,0,0.77,0,0,0,6.81,0,3.97,50.65,0,1.23,1.09,0,0,3.7,0,0,0,0,3.28,0,1.39,0,0
120,1.19,0,0,0,0,0,0,10.38,0,0,7.69,0,0,0,11.71,0,0,0,0,0,10.34,0,3.83,74.68,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
