stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,71.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.85,47.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3,3.78,0,0,19.21,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.71,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.87,6.37,0,0,13.13,0,9.66,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.46,11.75,2.69,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,3.1,0,0,2.19,14.52,0,5.23,0,0.81,0,4.57,3.88,0.82,0,5.14,10.33,0,0,0.85,0,0
 24-34,0,0,0,25.93,0.61,0,10.69,0,3.14,0,1.62,0,0,4.21,0,1.91,0,3.2,0,0,11.54,0,0,16.91,87.37,0,6.63,2.77,0,0,7.04,0,0,0,1.28,35.7,0,0,18.93,0,0
 36-46,0,0,0,5.16,0,0,14.49,0,0,0,22.5,0.65,0,0,1.14,2.78,0,0.74,0,0.86,35.88,3.71,0,17.81,159.41,0,9.21,3.96,0,0,24.57,0,0.58,0,0,45.98,0,0,14.88,0,0
 48-58,0,0,0,4.52,0.46,0,10.55,0,6.44,1.54,11.38,0,0,0.95,0.83,1,0,1.69,0,2.63,41.96,4,0.37,8.65,51.67,0,5.34,0,0,0,14.13,0,1.29,0,0,22.06,0,0,10.92,0,5.82
 60-70,0,0,0,9.32,4.76,0,28.12,0,5.77,0.68,35.93,0,0.89,0,0.72,0,0,1.02,0,1.57,70.34,5.05,0,4.13,30.71,0,5.57,0,0,2.07,20.44,0,3.48,0,0,16.11,1.62,0.94,13.1,0,5.28
 72-82,0,0,0,12.02,38.39,0,10.14,0,6.63,1.43,28,0.88,0,1.95,0,2.62,0,1.53,0,0,97.96,7.54,2.59,4.84,23.61,0,8.35,3.32,0,1.05,1.55,0,0,0,0,13.21,0.95,0,21.03,5.34,0.99
 84-94,0,0,0,5.85,8.03,0.92,3.57,0,3.82,0,6.75,0,1.23,3.24,0.69,0,0,2.15,0,0.67,46.28,5.32,1.29,1.66,55.1,2.81,0,0.88,0,0,16.67,0,0.6,0,0,2.19,1.17,1.05,19.84,0,0
 96-106,0,0,0,5.73,46.9,0,18.05,0,0.82,0.66,40.52,4.93,0,2.34,2.31,0,3.31,0,3.07,0.72,59.16,6.4,2.74,1.08,25.54,2.25,2.49,1.39,0,1.04,14.24,0,0,0,0,3.7,1.86,6.28,24.96,3.13,8.74
108-118,0,0,0,17.95,34.64,0,15.59,0.44,10.99,9.93,44.15,2.23,0,0,5.63,0.54,3.29,1.26,0.6,7.38,112.07,33.88,1.58,10.42,46.07,1.77,0,4.9,0,8.81,21.85,0,0,0,0,4.14,1.37,1.94,16.34,1.81,9.91
120,0,0,0,10.25,8.18,0,8.08,0,11.85,0,44.02,1.68,0,12.59,7.12,0,3.01,0,0,0,145.18,7.74,2.33,6.27,14.29,4.21,3.09,10.72,0,12.53,3.97,0,3.4,2.07,0,0,0,2.71,8.71,4.27,0
