stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,39.32,746.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.69,0,0,0,0,0,0,0,0
  5-6,27.01,487.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,7.49,0,0,0,0,0,0,0,0
  7-9,0,8.86,0,8.54,0,0,15.8,0,0,0,0,0,21.98,0,0,0,0,0,0,0,0,142.13,7.37,0,0,37.4,0,0,0,0,0,0,0,0,0
 10-12,0,26.79,0,8.05,0,0,34.93,0,0,0,0,0,4.68,0,0,0,0,0,0,0,0,297.18,0,0,0,33.83,0,0,17.39,0,0,0,0,0,0
 14-21,0,0,0,0,7.04,0.94,2.24,0,0,0,2.76,0,0,0,0,0,0,2.02,0,0,1.74,39.44,0,0,5.04,1.76,0,0.99,0,0,7.5,14.24,0,0,0
 24-34,0,0,0,0,0,0,12.3,0,0,0,2.38,0,0,0,0,0,0,4.16,0,0,0.78,69.53,0,0,0,0,1.15,0,0,0,0.61,19.75,0,0,0
 36-46,0,0,0,0,1.34,0,17.6,0,0,0,7.9,1.33,0,0,0,0,0,1.93,0,0,3.08,104.79,0,0,4.58,0,0,0,0,0,0,25.93,0,0.73,0
 48-58,0,0,0,0,0.65,0,55.8,0,0,0,43.77,0,0,0,0,0,0,8.92,0,1.13,27.89,105.25,0.49,3.66,2.72,0,0,0,0,0,0,17.4,0,0,0
 60-70,0,0,0,0,5.44,0,61.42,0,0,0.68,92.02,1.71,0,0,0,0.63,0,37.17,2.07,0,15.91,144.65,0,0,13.83,0,0,0,0,0,0,8.43,7.79,0,0
 72-82,0,0,0,0,34.13,0,69.16,0,0,0.74,69.32,5.47,0,0,0.92,1.3,0.62,30.63,0,0,26.05,87.35,0.56,0,3.72,0,0,0,0,0,0,10.95,2.47,0,2.57
 84-94,0,0,1.01,0,43.93,3.47,31.49,0,1.02,0,46.71,6.84,0,0,0.71,1.05,0,19.6,0.85,0,30.04,97.27,0.61,0,5.8,0,4.07,0,0,0,0,2.49,0,0,0
 96-106,0,0,0,0,117.57,0,25.15,1.8,0,7.4,60.54,8.29,0,0.91,4.26,0,0,34.01,0,0,29.47,92.68,0,0,2.49,0,5.23,0,0,0,0,9.21,0.67,0,1.92
108-118,0,0,0,0,106.22,6.92,37.35,0.64,2.51,0,80.81,13.44,0,1.71,4.55,0,0,15.54,0,0,47.87,83.21,0,0,0.48,0,2.64,0,0,0.43,0,1.77,1.85,0,0
120,0,0,0,0,45.33,0,35.61,0,1.62,0,107.25,0,0,0,4.49,0,0,13.62,2.93,2.47,63.39,81.46,0,0,6.92,0,4.17,0,0,0,0,0,0,0,0
