stage,epidermis,eye,fast.muscle,fin.mesenchyme,heart,mesenchyme,muscle,neural,otic,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,2,0,0,0,0.8,0,0
 24-34,0.61,0,0,0,0,0.91,0,0.62,0,0,0.65,0,0,0
 36-46,0,0,3.8,0,0,0,3.48,1.97,0,0,0,1.45,0,0
 48-58,0,0.37,10.53,0,0,2.26,1.71,4.71,0.44,0,5.11,0.85,0,0
 60-70,0,3.46,5.45,0,0,0.59,1.31,12.1,0,0,0,0,0,3.3
 72-82,0,0,0.94,0,1.42,1.14,10.37,1.86,0,0,0,1.93,0,0
 84-94,0,0,0,0,0,0,1.98,0,0,0.75,0,0,0,0
 96-106,0,8.55,0,1.02,0,0,0,5.57,0,0,0,0,1.93,0
108-118,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0
120,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0
