stage,blastomeres,epidermis,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,vasculature,xanthophores
  5-6,27.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.05,0,9.92,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.15,0,4.22,0,0,0
 14-21,0,0.85,0,0,0,0,0,0,0,4.63,0,0,0,0,3.62
 24-34,0,0,0,0,0,0,0,0,0,0,0.68,0,0,1.29,0
 36-46,0,0,0,0,0,0,1.01,0,0.75,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.51,0.51,0,0,0,0,0,0.85
 60-70,0,0.72,0,0,0,0,0,0,0.85,1.89,0,0,0,0,0
 72-82,0,0,4.14,0,0,0,2.81,0,0,4.11,0,0,0,0,0
 84-94,0,0,0,0,0,0,4.16,0,0,0.92,0,0,0,0,0
 96-106,0,0.83,0,1.09,0.58,0,0,0,0,0,0,0,1.3,0,0
108-118,0,0,8.09,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,5.06,0,2.77,4.47,0,0,0,0,0,0,0,0,0
