stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.27,0,0,0,0,0,0,0,0,0
  5-6,29.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07,0,0,0,0,0,0,0,0,0
  7-9,8.71,12.39,0,0,12.64,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0,158.19,0,0,49.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.23,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.41,0,0,41.22,30.95,0,0,0,0,0,0,0,0,0
 14-21,0,1.04,15.38,1.06,0,0,0,0,0,0,1.52,0,0,0,0.93,0,1.1,0,0,2.82,15.98,0,0,0,17.88,2.76,0,0,0.85,2.25,0,0,0,0
 24-34,0,0,12.98,0,0.6,0,0,4.36,0,0,1.17,0,0,0,1.33,1.53,6.36,0,0,1.03,6.53,0.99,0,0,30.46,0,0,0,0,1.78,0,0,5.66,0.76
 36-46,0,0,13.14,0,2.17,0,0,0,0,0,0,0,0,0,0,0,18.51,0.56,0,1.99,3.86,2.08,0,0,15.37,0,0,0,0,3.99,0,0,8.53,7.57
 48-58,0,0,10.37,0.38,1.12,0,1.14,0,0,0,0,0,0,0,0,2.93,20.84,0,0.58,4.06,6.92,0,0,0,1.96,0,0,0.68,0,2.94,0,0,2.61,0
 60-70,0,0,9.9,0,1.73,11.15,0,7.32,0.69,0,0,0,0,0,0,0,21.63,0,0,0.82,7.02,0,1.58,0,4.23,0,0,0,0,3.2,0,0,1.67,0
 72-82,0,0,1.95,0,0.73,2.77,2.39,6.25,0.63,0,2.79,0,0,0,0,6.63,29.94,0,0,2.74,9.36,0.53,0,0,1.46,0,0,0,0,0.75,0,0,7.38,0
 84-94,0,0,24.03,8.42,2.35,6.12,0,3.45,3.72,0,0,1.63,2.16,0,1.21,5.61,26.02,0,5.75,0.76,15.89,0,2.82,0,4.17,0,0,0,0,2.98,0,0,11.37,2.11
 96-106,0,0,11.68,0,5.2,11.02,0,16.23,0,0,1.03,0,0,0,2.68,0,29.7,0,1.52,0,12.65,1.67,2.05,0,4.57,0,0,0,0,0,0,2.5,3.13,0
108-118,0,0,16.32,0,0.92,5.11,0,13.8,2.8,0,3.16,0,0,0.5,0.49,1.55,35.12,0,0,0,11.93,0,6.16,0,1.95,0,0.62,0,0,0,0,3.58,5.35,0
120,0,0,10.09,1.06,7.08,0,0,4.28,8.88,0,0,1.42,0,0,0,2.93,71.23,1.05,0,0,31.56,0,0,0,0,0,0,0,0,4.78,2.39,0,7.51,4.74
