stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,21.57,636.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.1,0,0,0,0,0,0,0,0
  5-6,15.69,289.92,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.43,10.75,0,8.21,0,0,0,11.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.81,13.62,0,0,97.2,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,3.17,0,0,73.73,0,0,31.59,0,0,0,0,0,0
 14-21,0,0,0,0.88,2.2,1.4,0,3.84,0,0,0.84,0,0,0,0,0,65.63,0,5.04,0,0,4.05,20.18,0,0,3.04,0,0,8.54,4.64,3.01,42.71,9.43,0,0,0
 24-34,0.88,0,0,0.65,0,0,0,16.67,0.72,1.65,0,0,0,0,0,0,9.89,3.35,5.7,0,0,7.98,31.05,3.67,2.23,0,0,1.81,0,0,0,9.94,13.17,0,0,0
 36-46,0,0,0,0,0,0,0,26.09,8.75,2.56,0,0,0,0,0,0,0,11.36,1.95,0,0,2.13,32.81,2.04,0,1.66,0,0.87,0,0,1.48,0,6.98,0,0,0
 48-58,0,0,0,0,0,0,0,25.26,8.94,1.88,0,0,0.77,0.38,0.42,0,0,0.92,6.1,0.46,0,0.52,42.03,18.01,0,0.38,0,0,0,0,0,0,4.83,0,0,0
 60-70,0,0,0,0,0,0,0,63.99,0.74,0,1.45,0,0,1.81,3.99,0,0,6.87,6.97,0,0,4.33,7.06,7.86,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.54,0,0,1.11,0,54.42,1.93,3.23,1.44,0,0,2.02,2.87,0,3.3,0,9.27,0,0.88,2.62,62.44,4.84,0.93,1.18,0,0,0,0,0,0,6.78,3.4,0,0
 84-94,0,0,0,0,1.99,0,0.58,61.16,3.11,3.45,0,0,0,4.24,6.82,0,0,0,1.6,0,0,0,18.57,4.26,0,0,0,0,0,0,0,0,0,0,0.57,1.06
 96-106,0,0,0,0,0,0,0,49.34,2.4,3.14,2.86,0,0,6.74,4.02,0,0,0,1.12,0,0,6.53,39.23,2.96,0,0,0,0.58,0,1.37,0.84,0,0,2.08,0,0
108-118,0,0,0,0,0.85,0,0,58.68,2.16,2.1,3.66,0,0,0.86,15.45,0,0.61,0,12.57,0,0,1.77,52.56,15.92,0,0,0,3.42,0,0,0,0,6.98,0,0,0
120,0,0,0,0,0,0,0,65.8,4.37,0,7.83,0,0,0,10.07,2.53,0,0,0,0,0,1.51,12.84,23.7,0,0,0,0,0,0,0,0,0,0,0,0
