stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,55.06,1961.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.43,0,0,0,0,0,0,0,0,0,0,0
  5-6,142,1504.92,0,16.81,0,0,0,0,0,0,0,22.09,0,0,0,0,0,0,0,0,0,0,0,85.76,10.41,0,0,8.65,0,14.97,0,0,0,0,0,0,0,0,0,0,0
  7-9,39.29,46.97,0,76.8,0,0,123.99,0,0,0,0,28.69,0,0,0,0,0,0,0,0,0,0,0,1075.14,32.23,0,0,656.58,0,0,16.91,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.14,0,91.35,0,10.07,120.94,0,0,0,0,14.76,0,0,0,0,0,0,0,0,0,0,0,962.15,3.54,0,0,530,0,0,0,0,45.84,0,0,0,0,0,0,0,0
 14-21,2.31,1.28,0,2.87,53.3,19.19,21.07,0,0,7.2,0,0,2.02,0,0,0,0,0,0,46.32,0,0,51.79,667.38,13.6,4.89,1.9,30.15,0,8,0,127.93,7.89,0,50.04,265.18,0,0,3.76,0,0
 24-34,0,0,0,2.83,18.79,0.89,139.25,0,0,29.65,3.36,3.67,4.01,1.19,0.7,0.77,2.19,2.71,0,109.79,0,0,31.96,1664.24,3.23,8.58,9,0,0,50.13,0,0,1.57,2.7,4.66,417.77,0,0,36.66,0,8.91
 36-46,0,0,0,0,29.48,5.03,388.66,0,2,37.31,0.72,0,1.51,13.82,0,12.6,0,6,0,110.96,0,4.36,41.38,1363.81,2.1,7.2,0.78,0,0,46.7,0,2.6,0,0,0,281.72,0,0,6.17,0.78,3.08
 48-58,0,0,0,0,33.25,8.14,579.97,3.92,3.14,38.76,0.42,0,3.56,5.88,0,3.94,0,6.71,6.22,101.85,1.11,11.16,19.86,711.64,1.31,3.13,4.07,0,0,24.25,0,0,0.85,0,0,93.78,0,0,12.77,0,6.57
 60-70,0,0,0,0,13.93,3.79,492.26,1.5,1.8,30.63,13.34,0,3.2,10.49,0,10.59,0,7.56,0,85.48,0,5.94,15.56,403.35,2.42,8.74,0,0,0,10.52,0,0,0,0,0,32.56,0,0,5.85,0,11.03
 72-82,0,0,0,0,16.09,7.26,147.91,0,0.8,25.11,4.96,0,3.94,22.35,0.52,9.01,0,0.88,0,96.51,0.92,7,13.1,195.83,0,2.68,1.02,0,0,2.73,0,0,0,0.64,0,14.47,2.18,0.85,12.81,2.47,0
 84-94,0,0,0,0,17.37,17.41,132.61,0,0,12.96,5.31,0,3.32,10.2,4.44,5.94,0,0.6,0,93.4,0,10.08,5.6,135.65,0,3.63,0,0,0,5.81,0,0,2.03,0,0,5.11,0,3.5,20.08,0,4.42
 96-106,0,0,0,0,10.69,2.91,100.62,0,1.53,29.07,7.14,0,6.33,7.39,0.81,0,0,2.8,0,58.08,0,17.9,3.69,168.42,0.86,2.69,8.45,0,2.9,3.38,0,0,0,0,0,1.09,0.83,0,5.74,3.99,5.1
108-118,0,0,0.84,0,8.74,14.32,81.2,0,1.14,28.08,4.45,0,0.63,8.89,0,3.05,0,0.56,0,30.52,0,15.47,7.56,197.22,3.17,2.94,2.01,0,0,6.33,0,0,2.25,0,0,1.27,0.44,4.11,7.18,1.68,0
120,0,0,0,0,14.49,9.78,113.24,0,18.66,60.8,1.26,0,0,7.76,0,0,0,0,0,60.08,0,22.58,5.12,196.34,0,0,0,0,0,5.78,0,0,0,0,0,18.51,0,1.66,4.43,0,0
