stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,spinal_cord,vasculature
  3-4,0,12.51,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.15,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.22,8.18,0,0,0,0,0,0,0,0,0,4.24,0,0
 10-12,0,0,0,0,0,0,0,0,0,16.82,0,0,0,0
 14-21,0,0,0.82,1.69,0,0,1.08,0.96,1.23,3.19,0,0,0.88,0
 24-34,0,0,0,0,0,0,0,0,0,6.82,0,0,0.94,0
 36-46,0,0,0,0,0,0,0,0.83,0,4.45,2.39,0,1.21,0
 48-58,0,0,0,0,0,0,0,0,0,6.79,0,0,0,0
 60-70,0,0,0.76,0,2.65,0,0,0,0,1.28,0,0,0,2.13
 72-82,0,0,0,0,2.03,0,0,2.14,0,0,0,0,0,0
 84-94,0,0,0,0,0.62,1.77,0,1.63,0,2.64,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0
108-118,0,0,0,0,1.58,0,0,1.1,0,2.46,0,0,0,0
