stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,periderm,spinal_cord,taste
 24-34,12.11,0,0,0,0,0,0,0,3.43,0,0,0,0,14.28,0,0,3.73,0.64,0
 36-46,16.96,0,0,5.13,0,0,0,0,0,0,0,0,0,3.06,0,0,7.53,0,0
 48-58,28.67,0,4.81,0.91,2.46,0,0.7,0,0,0.93,0.42,0,0,4.16,0,0,41.14,0.6,0
 60-70,44.27,0,12.94,1.22,0.87,0,9.39,0,0,0,0,1.48,0.6,2.35,0,0,51.73,0.96,0
 72-82,33.78,0.87,1.17,0.55,0.57,0,2.43,0,0,0,3.51,0,0,14.98,0,1.67,45.33,0,0
 84-94,62.86,3.12,0,6.58,0,0,30.52,0.56,0,0,1.56,0,0,5.7,0,0.9,130.07,0,1.44
 96-106,85.65,0,19.36,12.22,0.57,0.75,16.07,5.06,0,0.66,0,0,0,19.94,1.35,1.63,295.85,0,0
108-118,75.62,0,12.74,10.9,2.16,0.74,17.57,1.91,0,5.32,0.84,0,1.51,17.35,0,0.98,192.57,0,1.74
120,89,2.63,0,16.54,0,0,5.59,4.73,5.65,0,2.95,0,1.86,14.36,0,1.7,180.28,0,0
