stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,100.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,0,0,0,0,0,0,0,0,0,0
  7-9,4.24,4.63,0,18.52,0,0,0,18.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.78,0,0,0,42.88,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.14,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.24,10.16,0,0,65.31,0,0,0,5.64,0,0,3.51,0,0,0,0,0
 14-21,0,0,0,2.74,18.66,12.27,0,18.94,0,0,5.68,0,0,0,0,0,0,0,0,21.03,0,0,5.3,228.87,5.1,6.04,3.95,0.98,0,32.47,28.05,1.78,6.27,21,73.05,0,0,4.04,0,0
 24-34,0,0,0.8,1.44,9.09,0,0,18.33,0.92,0,6.82,0.67,0,0,1.31,0,1.75,0,0,19.55,0,0,8.73,457.74,1.2,9.45,0.74,0,0,79.32,0,0,0,0.65,87.32,0,0,6.07,0,0.63
 36-46,0,0,0,0,12.76,0,0,57.23,0,0,24.72,0,0,0,0,0,0.77,0,0,17.9,1.01,2.12,6.11,459.87,0,0.64,3.55,0,0,185.31,0,0,0,0,116.58,0,0,3.51,0,0
 48-58,0,0,0,0,5.2,0,0,141.02,1.87,1.37,20.61,0,0,0,0,2.3,0,6.3,2.21,41.59,1.11,0.87,4.86,475.54,0,3,1.18,0,0,207.53,0,0,0,0,92.68,0,0,10.04,0,0.89
 60-70,0,0,0,0,9.46,0,0,184.49,6.82,0,37.03,0,0,0.58,0,0,1.16,0.87,0,78.92,0,0.91,3.91,642.96,1.73,0.99,0.94,0,0.63,562.09,0,0,0,0,127.28,2.13,1.84,0,0,0
 72-82,0,0,0,0,14.4,2.41,0,186.27,2.6,0,22.96,0.49,0,0,4.16,1.38,0.66,0,0,47.06,2.91,2.24,8.42,366.52,0,1.33,2.34,0,3.64,415.54,0,0.73,0,0,46.32,3.4,0,3.21,4.02,0
 84-94,0,0,0,0,24.12,3.94,0,115.53,10.23,4.63,23.72,0,2.41,0,4.51,0,0,0,0,41.21,1.14,1.78,6.9,311.64,0.74,2.43,3.96,0,0,771.61,0,0,0.55,0,19.51,0,1.98,3.93,0.64,0
 96-106,0,0,0,0,61.37,7.93,0,83.53,8.33,2.77,44.59,1.62,0.71,2.28,8.8,0,3.91,4.59,0,46.82,5.44,2.04,3.16,236.91,0,1.8,6.39,0,0.79,1088.3,0,0,0,0,17.76,0.99,0.88,4.29,0.56,0
108-118,0,0,0,0.74,66.31,7.17,0.45,112.88,16.65,0.64,51.62,2.81,0,0,5.33,4.87,1.39,1.09,0,54.9,9.21,1.99,3.83,365.3,0.69,0.98,4.36,0,0,721,0,0,0.63,0,25.43,0,2.58,1.36,2.64,6.95
120,0,0,0,0,76.53,4.35,0,90.88,23.22,0,49.45,2.84,0,4.81,5.02,4.78,10.89,0,0,52.57,9.66,17.45,1.54,284.85,2.23,2.34,3.32,0,0,666.74,0,0,0,0,44.25,0,0,0,4.69,0
