stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,412.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.64,431.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41,0,0,17.73,8.83,0,0,0,0,0,0
  7-9,0,0,17.36,0,0,26.44,0,0,0,0,12.05,0,0,0,0,0,0,0,0,248.57,6.31,0,0,51.06,0,0,0,0,0,0,0
 10-12,0,7.91,7.03,0,0,26.14,0,0,0,0,0,0,0,0,0,0,0,0,0,194.15,7.15,0,0,13.2,0,0,3.78,0,0,0,0
 14-21,0,0,1.1,10.05,4.94,9.67,0,0,6.94,0,0,0,0,0,0,12.07,0,0,7.16,174.4,5.16,0,0,3.13,3.31,23.68,0.86,6.04,71.32,0,0
 24-34,0,0,0,0.65,0,23.38,0,0,6.19,0,0,0,0.62,0,0,19.71,0,0,1.27,199.73,0,0,2.72,0,2.95,0,0,0.69,38.28,0,3.99
 36-46,0,0,0,0.71,0,33.36,0,0,5.33,1.58,0,0.73,0,0,0,13.67,0,0.74,5.56,104.08,0,0.6,0.97,0,10.38,0.86,0,0,21.31,0,11.99
 48-58,0,0,0,3.02,0,28.56,2.37,0.95,12.76,0,0,0,0,0,0,10.76,0,0,0.98,47.45,0.63,0,1.67,0,2.49,0,0,0,6.85,0,3.35
 60-70,0,0,0,1.85,0,12.8,0,0,3.39,0,0,0,0,0,0,4.05,0,0.81,0,24.1,0,0,0,0,0,0,0,0,6.12,0,0
 72-82,0,0,0,0,0,11.78,0.7,0,6.22,0.53,0,0,0,0,0,5.72,0,0.88,1.28,22.27,0,0,1.53,0,0.5,0,0,0,4.06,0,0
 84-94,0,0,0,3.33,0,3.81,0,0,5.65,0,0,0,0,5.42,1.52,12.34,0,0,0.69,26.39,0,0,0,0,1.61,0,1.13,0,10.53,0,2.86
 96-106,0,0,0,0,3.9,7.74,0.57,0,3.27,0,0,0,0,0.74,0,11.25,0,0,0.78,12.38,0,0,0,0,1.58,0,0,0,0,2.06,0.57
108-118,0,0,0,0,0,4.44,0.5,0,7.35,1.44,0,0,0,0,0,3.03,2.13,0,0.62,14.45,0,0,0,0,0,0,0,0,0,1.89,0
120,0,0,0,1.95,0,2.05,0,0,0,0,0,0,0,0,0,3.07,0,0,11.82,20.26,0,0,0,0,0,0,0,0,0,0,0
