stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4.45,16.12,297.87,14.25,0,11.55,0,2.56,0,16.16,27.18,2.08,0.92,0,2.46,0,1.57,0,0,69.73,0.9,0,64.32,630.56,26.11,9.94,6.17,40.04,0,166.69,16.59,20.79,0,11.74,535.88,0,0,6.86,0,0
 24-34,0,9.52,5.52,252.44,8.52,0,51.82,0,4.03,3.42,48.09,20.87,0,23.87,4.67,7.48,0,6.51,2.68,1.1,335.24,2.27,5.03,126.36,2438,39.67,86.97,14.25,0,0,210.15,0,5.08,0,11.49,1075.51,0,0,129,0,0
 36-46,0,3.07,0,121.87,10.65,0,72.63,0,6.66,12.61,83.14,7.64,4.4,26.96,8.93,8.48,0,9.18,0.66,28.75,443.13,3.51,32.29,100.25,3522.6,46.32,79.6,13.16,0,8.7,205.89,0,3.46,0,0,1078.38,0,1.04,139.03,0,11.08
 48-58,0,0.96,0.4,121.35,3.23,0,265.55,0.67,4.73,16.6,143.07,0.38,5.86,47.98,12.44,0.92,0,12.22,0.7,18.27,373.44,16.17,61.08,82.66,4471.4,45,70.29,11.1,3.66,1.74,133.83,0,8.95,0,0,960.01,0,1.35,147.2,0,6.75
 60-70,0,1.52,0,53.94,0,0,593.17,1.85,0.69,9.25,181.61,3.42,0.63,37.01,47.81,2.21,0,8.11,1.06,17.28,560.99,2.48,73.87,74.75,5215.97,45.03,46.16,8.97,0,15.78,98.44,0,1.12,0,0,866.32,1.61,22.45,140.46,11.09,0.65
 72-82,0,11.14,0,54.86,0.52,0,549.02,1.25,4.47,20.82,187.5,29.41,1.69,41.2,41,3.93,11.66,11.98,0,1.77,713.08,13.92,65.32,39.27,5434.97,12.74,44.53,16.12,0,21.24,57.39,0,1.41,2.68,0,556.99,7.89,13.02,230.12,33.05,2.8
 84-94,0,10.3,1.01,74.66,0.55,0,488.5,4.69,10.3,33.86,150.59,35.3,1.23,14.67,32.39,2.7,2.79,10.46,5.31,20.9,578.38,14.77,48.86,33.84,3534.56,13.97,61.11,21.29,0,4.23,135.93,0,6.13,0.68,0,349.16,15.46,29.83,222.79,80.83,3.21
 96-106,0,17.37,0,77.25,45.06,2.93,368.23,0.79,8.35,30.48,161.58,37.01,1.06,36.11,50.34,3.71,6.79,17.65,3.07,3.38,544.43,21.24,37.31,36.1,3035.87,7.15,62.41,17.01,0,17.75,159.61,0,7.5,0,0,225.73,18.51,16.08,319.2,64.04,10.41
108-118,0.45,8.11,0,78.4,9.74,1.69,407.77,0,8.53,20.05,172.02,47.75,2.74,12.02,41.49,8.31,15.76,18.94,4.24,17.72,752.91,26.83,47.97,49.42,3252.94,14.84,50.39,27.19,0,35.84,88.3,0,7.96,0.61,0,179.16,39.79,26.3,179.85,53.92,1.5
120,0,28.68,0,168.2,9.23,0,565.55,0,12.93,68.91,302.04,60.14,0,22.75,69.43,6.87,5.49,3.11,3.84,4.73,929.73,38.46,85.67,40.25,5412.49,34,31.53,59.73,0,0,200,0,2.3,0,0,398.86,14.65,28.5,323.85,84.51,9.66
