stage,axial,blastomeres,eye,glial,immune,mesenchyme,neural,paraxial.mesoderm,spinal.cord
  3-4,42.93,123.2,0,0,0,0,0,0,0
  5-6,0,31.5,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.86,0
 10-12,0,0,0,0,0,0,8.56,0,0
 24-34,0,0,0,0,0,0,2.56,0,0
 36-46,0,0,0.58,0,0,0,0,0,0.78
 48-58,0,0,0,0,0,0.98,0,0,0
 60-70,0,0,0,0,0,0,4.07,0,0
 72-82,0,0,0,0,0,0.82,5.36,0,0
 84-94,0,0,0,0,1.01,1.91,3.39,0,0
 96-106,0,0,0,0,0,0,2.37,0,0
108-118,0,0,1.76,10.32,0,0,6.64,0,0
