stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,14.97,0,0,0,13.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,28.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.66,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.91,10.91,0,9.66,0,0,0,0,0,0,43.62,0,2.33,0,0,8.69,0,0,86.29,0,0,0,0,0,0,7.58,2.64,0,0,0
 24-34,0,2.84,2.05,0,34.52,0,0,0,0,0,0,41.18,0,0,0,1.84,3.65,0,0,84.19,0.67,0,0,0,0,0,0,0.72,0.64,0,0
 36-46,0,0,0.84,0,21.29,0,1.2,0,2.28,0,0.58,4.76,0,5.6,0,0,0,0,0,78.8,0,0,0,13.93,0,4.82,0,0.97,0,0,0.61
 48-58,0,1.04,3.36,0,22.08,0,0,0,7.41,0,0.52,8.4,0,1.47,0,0.39,0,0,0,45.48,0,0,0,0,0,0,0,1.49,0.61,0,0
 60-70,0,0,6.82,0,24.11,1.33,0,0,3.22,0,0,3.24,0,0,4.76,1.06,0,0,0,44.87,0,0,0,0,0,0,0,0.69,0,0,0
 72-82,0,1.91,63.08,0,23.44,0,0,1.03,10.25,0,0,1.87,0,7.56,0,5.99,0,0,0,37.55,0,0,0,0,0.79,0,0,2.55,0,0,0
 84-94,0,1.22,41.56,0.88,19.52,0,0,0,6.22,0,1.94,6.55,0,5.74,0,1.37,0,0,0,44.8,0,0.9,0.95,0,1.3,0,0,0,0,0.63,0
 96-106,0,6.1,66.43,0.61,15.9,0,0,0,28.91,1.19,4.85,2.36,0,36.52,0,8.73,1.11,0,0.96,33.37,0,1.7,0,4.28,0.57,0,0,0,0,0.68,0
108-118,0,1.67,33.44,3.23,32.76,0,0,0,17.38,0,1.74,4.86,0.7,97.74,0,7.23,0,0.69,1.41,32.42,0,0,7.63,0,3.43,0,0,0,0,0,0
120,0,4.16,73.35,0,48.25,0,0,0,28.05,0,3.38,0,0,101.58,0,5.58,0,0,0,132.51,0,0,1.43,0,6.57,0,0,0,3.49,0,0
