stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,78.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52,0,0,0,0,0,0
  7-9,10.54,0,0,16.01,0,0,0,0,0,0,0,0,69.65,8.39,0,0,5.64,0,0,0,0,0,0,0
 10-12,0,0,0,11.83,0,0,0,0,0,0,0,0,15.65,3.12,0,0,3.97,0,0,0,0,0,0,0
 14-21,0,0.95,2.92,0.9,0,0,0,0,0,0.82,0,0,12.41,0,0,0,0,0,1.78,0,2.87,5.6,0,0
 24-34,0,0,2.8,6.27,0,0,0,0,0,3.43,0,1.12,58.13,0,0,2.33,0,0,0,0,0,25.18,3.38,0
 36-46,0,0,0,17.23,1.31,0.95,0,32.56,0,9.77,0,1.58,43.95,0,0.78,0,0,1.78,0,0,0,10.11,1.29,0
 48-58,0,0,1.84,21.16,0.41,0,0,0,0,2.43,0,0,37.73,0,2.08,0,0,5.44,0,0,0,10.39,0.85,0
 60-70,0,0,0,14.27,4.2,0,0,0,0.78,9.78,0,0,38.38,0,2.85,0,0,0,0,0.93,0,5.59,0,0
 72-82,0,0,0.59,14.43,3.91,0,0.59,0,0,4.34,0,0,23.47,0,0.52,0,0,0,0,0,0,6.94,0,0
 84-94,0,0,0,11.25,0.62,0,0,0,0,2.72,9.03,0,29.3,0,0,0.69,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.82,0,0,0,0,0,3.08,0,0,13.36,0,0,0,0,4.44,0,0,0,1.75,2.62,1.24
108-118,0,0,0,7.67,4.48,0,0,0.52,0,5.12,0,0,20.67,0,8.28,0,0,0,0,0,0,1.14,1.46,0
120,0,0,14.72,0,0,1.08,0,0,0,3.41,0,0,53.53,0,0,0,0,0,0,0,0,0,0,0
