stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,19.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34,0,0,0,11.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,13.94,0,0,0,0,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.81,51.29,204.09,0,10.06,0,0,0,0,0,1.99,347.62,1.08,0,0,0,0,10.83,0.82,0,7.89,29.61,40.7,0,2.62,0,0,3.91,1.21,0,0,3.16,9.22,0,0,0,0,0
 24-34,0,1.99,0.78,127.29,0,2.33,0,2.14,0,0,0,0,560.42,0.65,0,2.62,0,0,3.6,0,0,0.63,57.74,13.1,1.74,0,0,0,11.2,0,0,0,0,6.02,0,0,64.84,0,0.76
 36-46,0,0,26.18,79.96,0,1.4,0,0,0,0.89,0,0,647.4,0,0,1.29,0,36.86,2.81,0,0,2.22,47.62,12.2,2.13,0.8,0,0,20.73,0.81,0,0,0,12.21,0,0,25.75,0,21.78
 48-58,0,0,7.07,60.74,0,15.62,0,0,0.57,4.35,0,0,594.44,0.52,0,0,0,5.23,4.62,0,1.17,0,35.95,9.88,0.91,0,0,0.47,2.08,0,0,0,0,8.62,0,0,56.46,0,17.37
 60-70,0,0.85,7.22,28.6,0,22.7,0,3.2,0,4.79,0,0,732.12,0,0.85,2.81,1.98,9.61,15.77,0,0,0.97,41.07,8.48,0,2.1,0,0,10.64,0,0,0,0,6.8,0.61,0,59.42,2.04,46.24
 72-82,0,0,192.66,77.17,0,34.21,0,1,0,2.03,2.05,0,976.16,0.56,2.45,1.36,0,0.79,17.68,2.25,0,0.94,39.06,0.52,0,0,0,2.19,5.88,0,0,0,0,0,2.31,3.11,120.85,8.89,8.81
 84-94,0,0,47.34,74.01,3.04,9.69,0,0,0,10.19,11.28,0,1904.82,6.19,6.14,0.99,0,1.52,16.91,1.58,2.51,0,23.42,1.25,0,1.19,0,0,2.13,0,0.74,0.59,0,0,3.51,0,126.09,0.84,16.2
 96-106,0,0,374.5,98.23,0,49.36,0,1.87,0,15.61,6.67,1.53,1799.35,11.76,10.62,0.79,25.2,5.19,87.12,2.6,1.06,2.4,89.49,0.99,0.56,0,0,1.11,40.93,0,0,0,0,0,0,1.15,328.63,0.61,40.7
108-118,0,0,625.06,154.91,0.53,54.8,2.43,6.23,0,18.13,18.55,0,2434.66,17.25,40.5,1.34,6.97,1.31,62.79,7.61,1.3,0,95.45,9.74,0,0.74,0,6.56,33,0,1.56,0.41,0,0,7.9,2.56,306.76,1.13,32.93
120,0,0,268.79,127.68,1.89,22.35,0,3.61,0,14.46,37.29,0,2074.95,5.83,39.37,20.9,0,1.71,36.43,0,0,2.44,76.72,2.25,0,0,0,0,34.41,0,0,0,0,0,0,0,130.36,0,9.38
