stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0
  5-6,41.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.02,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.91,0,0,0,9.37,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.92,1.52,0,0,0,1.91,0,0,0,0,0,0,0,0,0,18.7,0,0,0,0,0,3.34,0.93,1.05,1.01,0,0,0.96,0,0
 24-34,0,1.57,0,5.68,0,0,0,0,0,0,0,0,0.84,2.65,0,1.95,73.13,0,0.88,0,0,0,3.57,0,0.85,21.74,0,0,2.76,0,2.64
 36-46,0,1.37,0,15.91,0,0,3.78,0,0,0,0,0,0,3.73,0,3.35,110.87,0,1.96,1.22,0,0,0,0,0,35.43,0,1.04,7.76,0,0
 48-58,0,3.18,0,43.29,0,0,9.69,0,0,0,0,0,0,5.94,1.76,0.77,83.4,2.88,2.08,0.69,0,0,0,0,0,15.44,0,0,5.83,0,2.69
 60-70,0,0.67,0,30.07,0,0,7.07,0,0,1.8,0,0.79,0,13.91,0,2.57,166.19,0,0,1.12,0,0,1.65,0,0,13.4,0,0,0,0,0
 72-82,0,2.52,2.29,42.64,0,1.04,4.47,0,0,0.56,0,0,0,20.4,0,1.98,99.2,0,1.27,0,0,0,0,0,0,7.47,1.35,0,0,1.13,0
 84-94,0,1.26,0,21.81,0.62,0,13.14,0,0,0.62,0,0,0.96,8.08,0,0,112.96,0,2.19,0,0,5.27,10.25,0,0,7.18,0.9,0,1.68,0,0
 96-106,0,4.91,0,7.89,0,0,0,1.19,0,1.77,0.77,0,1.99,8.71,0,2.4,81.52,0,0,1.42,0,0,3.66,0,0,4.12,0,0,3.48,0,0
108-118,0,0.58,0,19.79,0.44,1.95,2.89,0,3.6,2.28,0,0,0,5.24,0,0,45.58,0,0,2.83,0,0,5.09,0,0,2.51,0,0,2.99,0.95,0.49
120,0,0,1.32,20.39,0,0,0,0,0,0,0,0,0,7.34,0,3.29,59.24,0,6.87,0,0,0,1.66,0,0,4.07,0,0,0,0,0
