stage,axial,blastomeres,endoderm,eye,heart,ionocyte,mesenchyme,neural,notochord,paraxial.mesoderm,pronephros,spinal.cord
  3-4,0,41.81,0,0,0,0,0,0,0,0,0,0
  5-6,16.74,292.03,0,0,0,0,0,13.03,7.03,0,0,0
  7-9,0,13.98,3.51,5.4,0,0,0,188.53,3.62,43.97,0,0
 10-12,0,0,0,7.83,0,0,0,49.33,0,3.53,8.2,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0.67,2.23,0,0,0,0.74
 36-46,0,0,0,0.58,0,0,0,0.65,0,0,0,0
 48-58,0,0,0,0.38,0,0,0.52,1.62,0,0,0,0
 60-70,0,0,0,0.83,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.67,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.16,1.52,0.78,0,0,0,0,0,0
