stage,axial,blastomeres,epidermis,eye,glial,gut,hatching_gland,mesenchyme,mucous,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord,vasculature
  3-4,83.01,3462.73,0,0,0,0,0,0,0,0,0,0,0,152.81,0,0,0,0
  5-6,14.2,350.73,0,0,0,0,0,0,0,57.38,0,0,0,8.43,0,0,0,0
  7-9,5.65,0,0,12.9,0,0,7.85,0,0,69.93,5.77,0,30.53,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,10.14,0,0,0,0,8.7,0,0,0
 14-21,0,0,0.86,0,0,0,0,0,0,0,4.82,0,0,0,0,1.38,0.83,0
 24-34,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0.64,0,0,0.65,0
 36-46,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,1.28,0
 48-58,0,0,0,2.29,0.65,0,0,0,0,8.6,0,0,0,0,0,0,0,0
 60-70,0,0,0,4.3,0,0,0,0,0,10.78,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.79,0,0,1.7,0,7.19,0,0,0,0,0,0,0.86,0
 84-94,0,0,0,0,0.57,0.57,0,0,0,11.28,0,0.64,0,1.14,0,0,0,0
 96-106,0,0,0,0,0.93,0,0,0,0,8.48,0,0,0,0,0,0,0,0.93
108-118,0,0,0,0,0,0,0,2.79,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,1.53,0,0,0
