stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,mucous,neural,otic,periderm,pronephros,spinal_cord,vasculature
  3-4,11.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.61,1.04,0,0,0,0,0,0,0,33.41,0,0,0,0,0,3.48,0,0,0
 24-34,0,0,2.99,0,0,0,0,0,0,0,69.78,0,0,0.61,16.7,0,7.34,0,1.49,0
 36-46,0,0,0,0,0.94,0,0,0,0,0,97.97,0,0,0,9.48,0,19.89,0,3.33,0
 48-58,0,0,0,0.46,0,2.16,0,0,0,0.37,85.61,0,0.79,0,14.63,0,3.6,0,7.76,0.4
 60-70,0,1.3,0,6.91,0,0,0,0,0,0,83.14,0,0.93,0,45.04,0,3.64,0,6.57,0
 72-82,0,4.01,0,7.13,0,1.29,0,0,2.26,0,110.23,0,0,3.26,31.72,0,13.82,0,5.67,0
 84-94,0,9.22,0,5.93,0,2.93,0,0,0,0,100.01,0,0,0.57,10.41,0,11.63,0,0,0
 96-106,0,12.38,0,6.3,0,0,1.26,1.1,0,0,142.18,0,0,0,12.18,0,19.7,0,0,0
108-118,0,11.44,1.98,2.77,0,1.63,0,1.21,0.44,0,119.03,0,2.72,0,8.61,0.67,24.2,0.62,0,0.56
120,0,28.86,0,0,0,4.19,0,0,1.94,0,104.62,4.72,0,0,13.08,0,28.99,0,0,0
