stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,4.39,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.11,0,0,0,0,0,0,168.96,0,0,10.34,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,33.78,0,0,0,0,0,1.17,0,0,19.43,0.98,0,0,0,29.01,0,108.94,0,0,0
 24-34,0,0,0.59,0,1.39,0,0,0.65,0.62,36.11,0,0,0,0,0,3.03,0,0,9.64,23.96,1.32,0,0,12.93,0.64,60.08,0,0,0
 36-46,0,0,0,0,4.87,0,0.72,0,8.76,21.02,0,0,0,0,0,0,0,0,27.98,21.17,2.33,0,5.57,23.79,0,47.17,0,0,0
 48-58,0,0,0,0.97,0.7,0,2.97,1.02,0,19.87,0,0,0,0,0,0.59,0,0,29.04,15.41,0,0,0,10.59,0,21.72,0,0,0
 60-70,0,0,0,0,0,0,1.73,0,0,18.71,0,0,0,0,0.8,0,1.53,0,27.48,18.27,6.6,0,0,4.67,0,27.4,0,0,0
 72-82,0,2.56,0,0,18.64,5.2,2.22,0,0,13.21,0,0,1.12,0,4.39,0.51,0,0,29.51,19.45,3.67,0,0.73,0,0,2.99,0,0,0
 84-94,0,5.43,0,0.68,0,40.43,3.21,0,0,10.52,0,0,0,0,1.69,0,2.46,0.68,22.93,7.66,8.71,0,0,3.03,0,7.86,0,0,0
 96-106,0,2.46,0.58,0,8.53,22.02,1.4,0,0,8.73,2.07,0,0,0,2.66,2.04,0,0,13.02,18.5,6.66,0,0,0,0,5.71,2.45,1.22,0
108-118,0,0.76,0.42,0.43,13.45,92.45,6.39,0,0.43,11.4,0,0,0,0,2.61,7.17,0,0,28.29,8.59,8.53,0,0,2.23,0,7.23,0,0,4.4
120,0,12.46,0,15.38,10.06,35.75,0,0,0,3.96,0,0,0,1.63,1.15,3.68,0,0,87.03,51.01,13.99,0,0,8.51,0,15.94,0,0,0
