stage,epidermis,eye,iridophores,mesenchyme,muscle,neural,paraxial.mesoderm,somites,spinal.cord
  7-9,0,0,0,0,0,6.31,0,0,0
 10-12,0,0,0,0,0,0,3.04,0,0
 14-21,1.04,0,0,0,0,1.35,0,1.65,2.35
 24-34,0,3.9,0,1.28,0,6.46,0,0,1.87
 36-46,0,0,0,0.76,0.71,4.09,0,0,1.43
 48-58,1.59,0.83,5.04,0,0,1.33,0,0,0
 60-70,0,1.55,0,0,0,1.53,0,0,0
 72-82,0,0,0,1.25,0,0,0,0,0
 84-94,0,0,0,0,0,0.92,0,0,0
 96-106,0,6.59,0,0.57,0,0.69,0,0,0
108-118,0,0.93,0,0,0,0.6,0,0,0
