stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,immune,ionocyte,lateral.line,liver,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,30.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,7.45,0,0,0
 14-21,0,0.83,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0.9,0.89
 24-34,0,0,0,0,0,0,0.67,0,0,0,0,10.08,0.83,0,0,0.98,0.62,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.88,3.36,0.68,0,2.22,0,0
 48-58,0,0,0,0.61,0.61,0,0,0,1.05,0,0,13.35,0,0,0,0,4.51,0
 60-70,0,0,0,10.31,0,0,0,0,0,0,0.66,0.81,0,0,0,1.33,1.54,0
 72-82,0,0,0,0.59,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.67,0,0,0,0,0,1.28,0,0,0,0,0,0
 96-106,0,0,0.85,0,0,0,0,0,0,0,0,7.07,0,0,0,0,0,0.82
108-118,0,0,0,2.33,0,0,0,0,0,0,1.48,1.47,0,0,0,0,0,1
120,0,2.57,3.55,8.89,0,0,0,1.07,0,3.42,0,17.77,0,4.64,0,0,0,0
