stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.27,1327.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.42,0,0,0,0,0,0,0,0,0,0
  5-6,22.03,227.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.54,0,0,0,40.58,0,0,0,0,7.92,0,0,0,0,0,0,0,0,0,0,0,171.92,8.77,0,0,35.03,0,4.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,0,13.79,0,14.23,0,24.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.59,7.62,0,0,60.73,0,6.67,0,18.53,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,2.03,32.77,9.82,0,31.83,0,0,7.43,2.63,0,1.84,2.26,0,0.91,0.93,1.36,18.36,17.62,0,0,9.27,145.29,14.28,0,1.82,3.87,0,2.1,3.81,3.95,0,3.72,86.02,0,0,16.2,0,30.84
 24-34,0,0,0.67,0,18.45,14.56,0,77.86,1.67,0,10.06,1.35,0,10.91,15.35,4.5,12.13,1.89,3.15,14.15,30.21,0.66,0,10.78,270.07,3.3,2.3,3.48,0,0,19.29,0,2.1,0,2.11,69.07,0,0,75.08,0,43.49
 36-46,0,0,1.35,0,12.63,4.42,0,65.99,1.67,0,28.18,0,0,2.45,3.1,13.52,19.78,0,0,46.76,15.87,6.58,0,3.72,246.57,2.52,6.06,2.05,0,0,30.75,0,0.56,0,0,68.9,0,0,34.44,0,65.2
 48-58,0,0,0,0,4.96,3.47,0,111.14,1.55,0,43.61,0.42,1.43,2.01,12.37,5.33,48.09,0.65,0,34.07,46.02,2.39,0.46,3.84,286.86,1,11.16,5.49,0,0.4,11.45,0,0.94,14.3,0,71.25,0,0,35.17,0,34.41
 60-70,0,0,0,0,6.98,2.36,0,166.75,1.36,0,88.07,0,1.21,2.9,23.73,1.96,124.53,0,9.67,19.79,51.88,4.45,7.4,4.8,218.05,0,1.02,2.01,0,3.32,27.28,0,1.89,0,0,38.32,0,0,69.04,0,67.69
 72-82,0,0,1.44,0,12.69,3.6,0,180.87,1.03,6.65,112.34,6.52,1.12,0,18.94,4.21,153.13,5.67,3.3,11.17,96.19,9.42,4.89,4.5,256.07,1.26,8.9,8.35,0,0,29.34,0,8.43,0,0,20.61,0,0.93,46.16,3.82,48.64
 84-94,0,0,1.2,0,20.01,4.28,0,169.65,3.05,3.03,108.23,6.21,0.64,0,23.8,2.08,103.46,2.08,0,10.1,58.32,6.17,1.91,1.83,141.55,0,5.85,7.38,0,0,47.71,0,12.41,1.14,0,21.92,0,1.6,50.25,1.77,17.58
 96-106,0,0,0,0,17.32,30.47,0,132.95,4.74,1.44,121.06,6.88,0,1.47,15.35,3.05,111.91,0.76,15.61,5.92,61.26,2.71,8.71,6.93,125.45,1.43,6.72,11.98,0,0,59.29,0,6.85,0,0,6.33,1.1,0,62.09,2.1,13.98
108-118,0,0,0,0.65,26.57,7.71,0,152.5,3.17,6.35,68.53,6.92,0,0.88,12.57,9.34,176.25,0.93,2.44,16.92,63.03,3.93,2.94,8.29,152.63,1.13,6,7.88,0,0,44.16,0,7.32,0,0,13.44,3.23,0,38.76,1.62,27.8
120,1.12,0,1.37,0,32.19,4.11,3.13,94.12,5.9,1.26,72.74,25.94,0,0,16.46,10.8,98.57,0,9.29,10.98,36.94,2.24,2.18,15.66,234.25,3.28,0,11.57,0,4.48,29.99,0,5.56,0,0,0,1.27,1.46,70.94,0,5.01
