stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,mesenchyme,neural,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,26.33,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0
 14-21,0,0,0.9,0,0,0,0,0,1.98,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.8,15.77,0,0.61,0.71,2.62,0
 36-46,0,0,0,0,0,0,0,0,61.67,0,0,0,4.31,1.01
 48-58,1.29,0,0,0,3.32,0,0,0,49.44,0,0.52,0,0,0
 60-70,0,0,0,0.71,6.51,0,0,0,79.41,0.94,0,0,2.16,0
 72-82,0,0.69,0,1.68,11.48,1.85,0,0,56.71,0,0,0,2.63,0.9
 84-94,0,1.18,0,0,18.16,0,1.22,0,76.81,0,0,0,0,0
 96-106,0,1.36,0,0,16.66,0,0,1.1,73.57,0,0,0,0,1.47
108-118,0,0,0,0,8.17,0,0,1.18,56.83,0,0,0,0,0
120,0,0,0,0,9.83,0,1.38,0,65.07,0,0,0,1.95,0
