stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,32.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.37,0,0,0,0,0,17.03,0,0,0,0,0,0,0,0,0,0,0,84.38,0,0,0,12.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.53,3.65,0,0,34.6,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.7,12.72,133.75,26.93,0,77.01,0,2.75,0,25.7,5.12,2.2,9.99,0,8.31,0,0.93,0,0,75.26,0,0,29.01,529.85,11.03,8.86,16.86,10.34,0,67.81,45.05,18.11,17.16,77.67,145.01,0,0,9.85,0,0
 24-34,0,1.5,0.81,20.93,0,0,24.92,0.83,0,1.02,9.76,0,0,1.44,0,9.45,0,1.49,0,2.82,16.26,0.99,0,8.34,262.19,2.05,4.17,5.6,0,0,84.94,0,4.38,1.17,6.16,56.18,0,0,13.66,0,5.7
 36-46,0,0,0,32.03,0.78,0,46.51,3.58,3.41,0.64,9.83,0.61,0,2.92,2.23,4.25,1.36,0.65,0,1.66,21.35,0,0,3.51,325.57,2.1,7.3,9.6,0,0,56.46,0,4.02,7.35,0,38.18,0,0,9.84,0,0
 48-58,0,0,0,12.03,1.7,0,114.08,7.4,3.48,0.5,24.49,0,0.75,0.63,4.72,0,0,0,0,7.09,14.86,0.95,0,2.75,259.2,0,9.28,6.47,0,0,36.39,0,1.07,1.03,0,48.03,0,0,4.4,0,0.99
 60-70,0,0,0,24.33,6.77,0,227.23,0,14.86,0,18.69,0,0,0,4.6,0.95,0.81,0,0,0,34.23,0.73,0,2.01,317.45,2.09,3.04,0,0,0,30.02,0,0,0,0,74.25,0,0.9,3.68,0,3.95
 72-82,0,2.64,0,21.91,81.04,0,355.58,0,0.5,0,43.43,0.77,0,1.91,4.03,2.11,0.72,3.03,2.18,0,55.55,1.73,0,4.78,307.39,0,2.91,4.71,0,0,18.08,0,0,1.69,0,66.23,0.59,0.49,17.98,0,5
 84-94,0,2.47,0,27.69,35.58,1.61,382.57,1.66,8.21,1.45,66.85,5,0.99,0,6.88,2.24,2.22,1.91,0.62,0,88.71,3.21,0.8,4.68,188.98,5.28,7.06,9.37,0,0,43.35,0,0.92,0.66,0,61.73,0.57,0,30.31,2.8,9.31
 96-106,0,3.54,0,16.09,101.45,2.69,313.93,0,1.48,0.82,24.23,0.67,0,0,1.95,1.8,1.03,1.23,4.24,0,34,0,4.32,2.33,192.5,0,5.1,9.23,0,0,37.88,0,0,0,0,21.42,3.45,1.2,11.27,1.12,2.21
108-118,0,5.1,0,32.57,41.84,1.68,376.54,0,4.44,0,79.77,2.9,0,1.62,5.31,3.13,3.62,1.97,2.9,1.1,56.29,0.95,0.46,7.06,401.43,1.06,20.52,12.26,0,0,38.34,0,1.67,0,0,17.85,9.08,0,13.05,0,3.99
120,0,0,0,26.61,42.29,0,402.52,5.4,4.34,1.44,180.24,2.56,0,1.85,20.97,0,3.6,1.84,0,1.33,72.33,0,8.33,0,583.64,3.96,9.18,31.37,0,19.49,68.13,0,4.27,0,0,18.68,7.71,0,17.41,0,3.63
