stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.05,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.06,0,0,0,0,0,0,0,0,0,0
  5-6,37.93,566.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.47,0,0,0,31.12,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.4,6.52,0,0,66.79,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.05,4.61,0,0,0,4.39,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,129.55,0,0,0,101.37,0,0,0,10.66,0,0,0,0,0,0,0,0
 14-21,0,0,1.97,20.39,4.42,0,5.38,0,0,3.07,0.82,0.91,1.66,0,0,0,0,0,11.36,0,3.22,80.35,0.83,0,0,0,0,0,2.83,0,0,9.51,37.79,0,0,3.15,0,0
 24-34,0,0,0.76,2.54,0,0,17.22,0.9,1.8,4.18,0,0,1.97,0,0,1.28,0,2.96,25.69,0,5.04,365.23,0.9,3.6,0.94,0,0,4.32,0,1.08,0,1.38,69.33,0,0,5.59,0,1.23
 36-46,0,0,0,1.2,0,0,13.3,0,0.82,11.92,0,0,1.84,0,0,0,0,0,23.75,1.42,8.9,693.13,0,2.93,0,0,0,0,3.04,3.75,0,0,93.07,0,0,3.6,0,0
 48-58,0,0,0,3.73,0,0,53.62,0,0.47,12.96,0,0,0.38,0,0,1.27,1.73,0.4,29.1,0.56,2.63,800.6,15.31,1.26,0.37,0,0,0,0,0,0,0,114.97,0,0.61,3.05,0,7.11
 60-70,0,0,0,5.23,0,0,168.58,0,0.73,43.36,0,0,0,0,0.85,0.85,0,0,41.43,5.36,0,1269.63,0,0.96,0,0,0,2.2,0,0,0,0,129.98,0,0,0,0,0
 72-82,0,0,0,2.62,0,0,136.42,0,3.1,23.6,0,0,0,0,0.57,0,2.52,0,44.38,4.27,4.79,791.9,0,6.44,4.99,0,0,0.59,0,0,0,0,84.36,0,0.9,1.33,0,2.11
 84-94,0,0,0,1.81,0,0,121.52,1.31,0.57,21.94,0,0,0,0,0,1.05,0,0,46.29,2.24,7.08,706.66,0,2.22,5.67,0,0,0,0,0,0.61,0,60.73,3.57,2.87,9.96,3.71,0
 96-106,0,0,0,0.8,0,0,94.67,0,0,17.48,0,0,0,0.81,0,0.77,0,0,24.38,0,2.41,493.55,0,8.51,2.73,0,5.53,6.78,0,0,0,0,21.17,0,0.89,0.66,0,0
108-118,0,0,0,3.7,0,1.91,93.16,1.11,0,32.57,0.43,0,0,0,6.33,0,4.93,0,44.03,0,1.31,500.7,0,1.63,1.35,0,0,0,0,0,0,0,15.84,0.43,0,8.6,3.25,0.88
120,0,0,0,10.83,0,0,110.05,1.11,4.45,11.91,1.38,0,0,0,0,2.98,0,0,49.21,0,2.35,728.16,2.24,5,0,0,0,0,0,0,0,0,29.45,0,0,0,4.54,0
