stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.07,0,0,0,13.38,0,0,0,0,0,0,0,0
 10-12,16.07,0,78.22,0,0,343.74,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0,2347.03,11.76,0,0,32.91,0,0,0,0,0,0,0,0
 14-21,0,0,0,142.44,10.22,31.03,0,0,1.03,0,1.97,0.82,0,6.5,1.48,0.85,0,0,75.48,0,0,9.6,1832.55,4.04,157.66,1.94,0,4.1,0.86,2.44,617.42,0,0,3.01,0
 24-34,0,0,0,97.81,6.57,31.22,0,3.72,12.4,0,0,0,2.11,1.66,0,2.72,10.35,0.63,63.86,9.44,0.82,0.61,2245.2,0,295.23,1.23,0,30.54,0,2.3,676.45,0,0,0.62,0
 36-46,0,0,0,15.99,0.68,27.61,0.85,0,74.99,0,0,0.93,0,0,0,0.57,0,8.29,70.46,1.47,0,19.31,2064.78,1.94,203.93,0,0,31.41,0,0,496.22,0,0,0,0
 48-58,0,0,0,19.71,0,42.17,0,0.51,74.86,0,0,0,0,0,4.96,0,0,0,37.63,0.44,0,7.08,1231.59,0,90.3,0.47,0,15.45,0,0,213.86,0,0,1.11,8.99
 60-70,0,0,0,2.64,0,25.86,0,0,102.22,1.29,0.66,0,0,0,0,0,0,0,22.75,1.49,0,1.43,693.01,0,61.04,0,0,13.85,0,0,75.2,3.24,0,0,0
 72-82,0,2.6,0,8.29,0,49.31,0,0,130.79,1.25,0,0,0,0,0,0,10.61,0,51.55,0,1.23,1.59,736.29,0,61.33,2.07,0,9.84,0,0,13.12,33,0,0,11.08
 84-94,0,0,0,16.19,0,71.47,0,1.71,55.02,2.73,0,0,0,2.04,0,2.09,0,0,29.19,0,1.72,0.98,640.72,0,51.71,2.16,0,26.87,0,0,7.18,101.47,1.05,0,3.06
 96-106,0,0,0,40.44,1.37,51.95,0,0,69.43,8.23,0,0,0,0.58,0,0,3.07,0,8.62,0,0,0,394.45,0,83.17,0,0,34.86,0,0,0,133.59,0,4.53,0
108-118,0,3.54,0,21.54,1.91,32.98,0,0.53,75.49,0.61,0,0,0.85,0.77,0,0,0,0,20.14,0.87,0,0,432.67,0,53.99,0,0,48.73,0,0,7.88,153.3,0,0,0
120,0,0,0,30.13,0,63.49,0,2.04,142.01,2.58,0,0,0,0,0,1.69,0,0,26.43,0,0,0,573.91,0,106.34,0,0,42.99,0,0,29.53,41.57,0,0,0
