stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,9.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.4,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,50.08,0,0,0,10.99,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,20.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.08,0,0,0,6.56,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.05,0.96,0,1.24,0,0,0,0.99,1.01,0,0,0,0,0,0,0,0,0,0,0.91,25.57,0.88,0,0,0,0,0,0.92,10.47,0,0,0,0
 24-34,0,0,0,0,6.09,0,0,9.33,0,0,0,1.71,0,0,0,0,0.74,0,1.49,0,8.22,0,0,2.32,123.38,0,6.14,3.59,0,3.12,0,0.71,24.23,0,1.8,0,0
 36-46,0,0,0,0,3.63,0,0,14.84,0.66,0,1.47,7.4,0,0,0,0,0,0,0,0,26.71,0,0,3.54,122.47,0.64,0.81,1.69,0,0,0,0,13.8,0,4.17,0,0
 48-58,0,0,0,0,0,0,0,41.94,0,0.45,0,7.46,0,0,0.44,1.08,0,0,0,0,14.63,1.11,0,1.44,111.91,7.28,0.64,1.69,0,6.67,0,0,29.84,0,0,0,0
 60-70,0,0,0,0,0,0,0,31.02,0,0.65,0,6.5,0,0,0,0,0,0,0.67,0,18.92,0,0,2.03,64.82,0,0,3.1,0,1.08,1.39,0,10.83,0,0,0,0
 72-82,0,0,0,0,2.05,1.14,0,20.9,0,0,4.84,6.39,0,0,0,0,1.02,0,0.53,0,16.59,0,1.28,0,61.77,0.5,0.93,0,0,2.56,0,0,9.13,3.36,0,0,0
 84-94,0.62,0,1.11,0,0.92,0,0,23.31,0,0,0,5.28,1.12,0.6,0,0,1.2,8.94,0,0,4.63,0,4.19,0,30.95,3.45,6.44,0,0,6.46,0,0,0.67,0,4.22,0,0
 96-106,0,0,0,0,2.5,0,0,18.16,0,0,0,4.8,1.7,0,0.61,0.81,0,0.74,0,0,11.26,0,0,0,56.37,0,2.35,0,0,3.14,0,0,0,0,4.01,0.86,7.99
108-118,0,0,0.47,0,3.31,5.56,1.55,5.73,0,0.45,0.66,16.58,0,0,1.27,2.21,0,0.64,0,0.95,10.37,0.43,0.49,1.19,28.98,0,0,0.93,0,6.51,0,0,10.2,0,2.78,0,0
120,0,0,0,0,8.12,1.25,3.69,20,0,7.49,0,5.38,1.61,0,0,2.36,0,0,0,0,5.78,0,0,0,25.52,1.29,0,0,0,0,0,0,4.72,0,0,0,0
