stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord
  3-4,68.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,34.01,0,0,0,11.32,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.31,0,0,0,20.07,0,0,0
 14-21,0,0,1.74,0.82,0,0,0,0,0,1.05,18.1,2.35,0,0,1.03,0,0,5.74
 24-34,0,0,2.43,4.87,0,0,10.58,0,0,0,106.26,2.44,0,0,0,0,0,40.91
 36-46,0,0.95,13.18,30.89,1.17,0,14.09,0,0,0,186.58,0,1.14,0,0,0,1.44,84.74
 48-58,0,0.44,0.77,40.02,0,0,6.7,0,8.7,0,187.92,4.84,0,0,0,0,0,42.95
 60-70,0,0,0.57,47.91,0,0,36.74,0,2.16,0,262.69,1.81,0,1.67,0,0,0,50.39
 72-82,0,0.68,0.87,47.72,0,0,22.77,0,0.72,0,180.59,0,0,1.32,0,0,0,19.13
 84-94,0,3.91,0,43.59,0,0.69,13.13,0,1.07,0,133.4,0,0,0,0,0,0,14.31
 96-106,0,0,0.56,14.39,0,0,11.88,0,9.76,0,89.99,0,0,0,0,0,0,10.37
108-118,0,0,4.31,32.45,0,0,7.01,0,5.55,0,113.6,0,0,0.9,0,0,0,9.32
120,0,0,0,34.12,0,0,45.63,1.14,9.37,0,161.94,0,0,2.2,0,4.48,0,0
