stage,axial,blastomeres,endoderm,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,somites,vasculature
  3-4,0,76.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.31,524.99,0,0,0,0,0,0,0,0,0,0,0,0,0,16.59,0,0
  7-9,0,0,5.42,0,3.31,0,0,0,4.94,0,0,0,0,12.33,4.83,0,0,0
 10-12,0,0,7.2,0,0,0,0,0,0,0,0,0,0,4.89,15.78,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0,0,0,3.75,0
 48-58,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.52,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.89,0,1.03,0.7,0,0,0,1.9,0,1.91,0,0,0,0.88
108-118,0,0,0,0,0,0.6,0,3.29,0,0,1.91,1.46,0,0,0,0,0,19.74
120,0,0,0,1.06,0,0,0,12.44,0,4.65,0,11.26,0,0,0,2.07,0,244.62
