stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.56,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,127.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.13,0,0,18.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.02,0,0,0,17.97,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.08,0,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.91,5.2,0,0,20.08,0,0,0,7.42,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,18.44,0,2.02,0,0.82,0,0,2.03,0.89,0,0,0,0,0,0,4.54,0,0,0.89,27.75,0.99,0,0,0.91,0,20.48,1.93,0,0.94,1.91,21.02,0,0,0,0,0
 24-34,0,0,0.75,0,13.28,0.6,3.81,0,5.91,0.7,1.35,0,0.69,0,1.52,0,0,0,0,16.07,0,0,7.51,329,0,0,0,0,0,8.78,0,0,0,0.66,106.24,0,0,23.76,0,1.3
 36-46,0,0,0,0,11.01,4.05,16.92,0,11.6,2.47,5.48,2.26,1.34,0.68,0,0,0,0.67,3.71,21.98,0,0.77,3.34,700.64,10.64,0,0,0,0,41.5,0,0.95,0,0,204.02,0,0,7.32,0,0.66
 48-58,0,0,0,0,6.5,0,92.84,0.7,0.39,4.79,10.47,1.25,7.96,0,0,0.43,1.56,2.08,24.1,66.78,0,4.36,11.9,1228.35,6.33,3.75,2.36,0,0,23.87,0,0.42,0,0,236.35,0,0.84,7.99,0,3.04
 60-70,0,0,0,0,1.88,0,307.56,0,3.02,6.87,68.53,0,5.57,0,0.86,0.66,0,2.6,10.09,97.39,0,4.01,4.31,1723.59,1.57,2.17,8.4,0,1.77,23.28,0,0,0,0,210.91,0,2.22,9.45,0.64,15.57
 72-82,0,0,3.44,0.56,17.55,9.02,513.29,0,9.55,9.81,103.64,0.56,6.25,0.65,0,2.87,0,1.24,4.19,161.96,0,8.89,4.72,2105.58,0,1.74,1.96,0,5.12,11.6,0,0.73,0,0,208.19,3.4,9.02,22.32,8.76,7.84
 84-94,0,0,0,0,14.29,1.38,369.88,0,4.2,0.77,67.64,0,2.45,0,0,10.98,0,0,1.77,123.41,0,4.1,3.13,1299.54,0,7.82,2.71,0,3.67,15.13,0,0,0,0,111.3,1.67,7.63,7.74,11.81,3.81
 96-106,0,0,1.43,0,18.01,4.87,324.72,0,15.93,15.37,76.63,0,0,0.65,1.57,1.59,1,2.18,6.42,114.68,0,1.37,3.38,1091.14,0,4.84,1.82,0,1.57,5.78,0,0,0,0,65.24,0,5.14,10.62,5.5,14.99
108-118,0,0,1.15,0.44,18.35,2.02,291.42,0,4.3,8.41,63.67,1.05,0,2,2.6,3.06,0,1.04,1.14,117.55,0.43,5.93,8.13,1094.05,0,7.96,11.57,0,2.34,16.02,0,0,0,0,46.1,0,25.35,12.74,15.42,7.84
120,0,0,2.94,6.07,1.16,0,201.69,0,2.62,0,83.21,0,0,0,0,7.25,0,0,6.98,142.76,0,24.57,1.56,1465.79,0,0,16.69,0,0,4.76,0,0,0,0,86.8,2.31,5.35,26,20.11,0
