stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,212.69,3552.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.7,0,0,0,0,0,0,0,0,0,0
  5-6,459.89,8828.24,0,0,0,0,0,0,0,0,0,0,0,33.05,0,0,0,0,0,0,0,0,0,0,0,189.4,71.08,0,0,106.27,0,62,0,0,0,0,0,0,0,0,0,0
  7-9,86.51,314.27,0,258.74,0,0,0,896.67,0,0,0,0,0,98.89,0,0,0,0,0,0,0,0,0,0,0,7136.99,116.83,0,0,2190.86,0,28.61,33.46,0,0,0,0,0,0,0,0,0
 10-12,0,255.36,0,334.63,0,36.39,0,687.39,0,0,0,0,0,55.93,0,0,0,0,0,5.32,0,0,0,0,0,5925.92,89.36,0,0,1325.3,0,9.29,24.91,5.64,149.24,0,9.39,0,0,0,0,0
 14-21,2.31,0,0,27,243.38,91.12,0,118.01,0,0.87,0,43.93,6.54,1.79,1.07,0,8.84,1.12,1.96,1.15,0,134.74,1.92,0,66.31,2193.03,44.13,18.26,14.36,58.39,0,88.79,3.04,137.73,8.01,89.65,483.86,0,0,4.37,0,0
 24-34,0,0,0,4.83,93,25.69,0,366.33,0,2.13,0.72,47.92,8.08,3.85,5.8,7.59,5.96,4.02,11.75,26.07,0,232.54,1.44,0,78.19,2820.23,4.66,14.8,33.36,0,0,125.08,0,0.93,3.21,9.7,552.78,0,0,44.14,0,8.85
 36-46,0,0,0,0,43.19,7.62,0,434.5,0,0.96,0,52.52,1.28,0,1.89,3.98,2.43,6.53,2.83,2.32,0,150.34,1.19,3.66,47.31,1414.4,2.69,7.02,10.25,0,0,72.41,0,2.69,0,0,240.78,0,0,28.06,0,14.3
 48-58,0,0,0,1.44,30.45,8.05,0,452.74,0,2.56,1.88,80.32,2.51,0,2.69,9.63,13.37,7.38,4.06,4.35,3.19,184.5,0,7.16,41.27,633.41,1.14,3.5,7.86,0,0,21.5,0,0,0.44,0,85.47,0,0,19.6,0,3.32
 60-70,0,0,0,0,45.9,13.46,0,269.33,0,0,1.76,85.57,8.84,0,0.71,5.86,4.13,5.25,1.89,10.1,0,115.73,0,5.16,15.68,442.17,1.7,1.42,0.91,0,0.71,11.8,0,5.3,0,0,39.54,0,0,18.58,0,3.54
 72-82,0,0,1.29,0,33.21,9,1.76,159.72,0,0,4.59,68.87,13.93,0,0.51,12.74,8.58,2.26,1.5,7.36,7.83,133.03,0.73,4.94,27.04,265.37,1.13,3.91,15.14,4.01,0,15.3,0,0,0.55,0,17.44,2.81,1.43,12.52,1.55,4.62
 84-94,0,0,0,1.01,63.05,12.5,0,149.6,2.25,0.74,0.78,61.46,27.94,0,1.45,11.86,6.92,5.89,1.41,9.49,1.11,157.65,0,6.27,33.93,235.92,1.75,2.91,7.24,0,0,19.13,0,0,3.92,0,9.35,2.22,0.77,21.16,2.87,1.57
 96-106,0,0,0,0,50.33,16.14,0,105.89,0,0.81,1.7,68.34,14.55,0,3.91,12.53,4.85,1.28,3.06,5.22,0,86.57,0.71,4.16,8.53,173.38,1.43,5.97,7.52,0,0,26.36,0,0,0,0,1.71,1.48,0,21.56,1.42,2.91
108-118,0,0,0,0,29.11,19.36,0.44,141.47,0,1.06,2.85,72.3,8.26,0,1.78,9.87,2.29,7.94,2.76,5.23,0,88.71,0,4.02,21.38,310.97,3.22,5.3,4.74,0,0,24.1,0,0,1.53,0,5.51,3.18,0.77,19.65,0.68,0
120,0,0,0,0,22.5,30.98,0,116.14,0,0,0,81.23,2.44,0,1.54,28.3,5.57,2.88,0,0,0,61.66,0,20.8,30.21,270.83,4.72,1.45,9.01,0,7.35,8.55,0,0,0,0,15.46,0,0,23.96,4.22,0
