stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.51,296.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.67,238.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.64,0,0,0,0,13.07,0,0,0,0,0,0,0,0,0,12.63,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,19.81,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.38,0.98,0,0.96,0,0,0,0,0,0,0,0.84,0,0,0,0,0,5.33,0,0.89,1.2,2.42,0,0,0,0,0
 24-34,0,0,1.33,0,0,0.71,0,0,0,0,1.82,1.42,0.64,0,0,0,6.41,1.51,2.43,1.52,17.48,0,0,0,0,0,3.19,0,0,5.55,15.69,0,0,0,0,0
 36-46,0,0,0,0,0,10.42,1.14,0,0,0,0,0,0,0,0,0,2,5.36,4.72,0,102.56,1.9,2.21,0,0,0,0,0,0,0,44.1,0,0,0.63,0,0
 48-58,0,0,0.42,0,0,60.05,1.72,0,0,0,0,3.43,0.39,0,0,0,3.28,6.2,5.04,0.61,141.84,0,0,0,0,0,4.77,0,0,0,42.09,0,0.64,4.43,0,0
 60-70,0,0,0.57,0,0,212.51,0,0,2.91,0,0.97,0.61,0,0,0,0,11.3,5.26,2.29,0,322.92,0,1.15,0,0,1.65,0,0,0,0,52.31,0,1.39,2,2.94,0
 72-82,0,0,0.69,0,3.78,247.54,0.5,0,3.97,0,0.65,1.42,0,0,0,3.49,21.27,22,6.04,0.51,302.07,0,0,1.13,0,0,0,0,0,0,20.73,0.74,3.19,2.79,11.05,0
 84-94,0,0,2.69,2.18,0,210.71,5.02,0,7.04,3.63,0.76,0,1.68,0,0,0,14.8,29.2,11.63,0,238.5,0,0,1.57,0,0.6,2.46,0,0,0,24.62,8.2,12.97,1.46,13.24,5.87
 96-106,0,0,0,2.32,3.85,158.55,3.02,0.66,11.26,1.09,0,1.65,0,0,4.27,3.07,14.99,23.46,2.55,0,205.01,0,0,2.64,0,0,1.26,0,0,0,2.7,12.42,10.37,1.18,20.63,0
108-118,0,0,1.41,5.45,0.94,207.04,6.26,0,12.68,14.37,0,0.64,0,0.74,2.9,1.6,8.63,16.17,24.98,0,235.4,0,0,2.07,0,5.11,9.56,0,0,0,7.09,19.36,3.86,1.64,8.64,0
120,0,0,10.29,4.73,0,173.28,5.42,0,17.09,0,0,0,0,0,4.14,1.23,7.59,34.53,14.44,0,357.28,0,0,0,0,0,1.11,0,0,0,15.53,15.79,7.88,0,17.52,0
