stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,262.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.14,0,0,0,0,0
  5-6,74.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.74,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0,5.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78,0,0,4.14,0,0,0,0,0,0,0
 14-21,0,6.04,0,0,0,10.41,0,0,0,0,0,0,0,0,0,0,10.24,0,1.24,0.82,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,21.01,0,0,0,0,0,0,0,0,0.6,2.25,9.58,0,0,0,0,0,0.7,0,0,1.24,0
 36-46,0,1.85,0,0,0,3.63,0,0,0,0,0,0,0,0,12.74,0,7.17,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.78,0.92,13.33,0,0,0,0,0,0,0,150.78,1.02,17.23,0,0,0,0,0,0.76,0,0,0,0
 60-70,0,0,0,0,1.65,2.33,32.9,1.02,0,0,0,0,0,0,315.58,0,64.35,0,0,0,0,0.71,0,0,0,0,0
 72-82,0,7.16,0,0,47.56,5.01,30.72,0,0,0,5.59,0,0,0,609.31,0.83,27.05,0,0,0,0,0,0.81,3.91,2.77,0,0
 84-94,0,2.25,0,0,10.5,0,15.76,1,1.26,0,4.06,1.03,0,6.93,755.45,2.35,24.37,0,0,0,0,0,0,6.57,0,0,0
 96-106,0,5.87,0,0,25.91,0,22.5,14.39,0,0,0.85,0,0,0,721.89,0,69.94,0,0,0,1.17,3.4,0,9.61,2.54,12.34,7.9
108-118,0,0,0,0.59,8.98,2.68,47.63,8.46,0,0,5.07,0,3.34,0,552.2,0,67.55,0,0,0,0,0.56,0.94,29.15,0,2.32,0
120,0,7.06,1.97,0,0,0,11.17,5.6,0,0,3.13,0,0,0,561.08,0,44.9,1.12,0,0,0,0,0,16.34,0,0,0
