stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,20.67,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.07,0,0,0,0,9.79,0,0,0,0,0,0,0,0,27.21,0,0,0,14.45,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,4.46,2.87,4.72,0,0,0,0.84,0,0,0,0,0,0,4.75,0,7.21,65.58,0.87,0,0,0,1.11,4.96,0,0,6.14,19.64,0,1.08,0
 24-34,0,0,0,1.85,0,25.46,0,0,2.95,0,0,0.62,0,0.64,0,0,19.3,0,3.28,187.65,1.25,2.4,5.2,0,0,0,0,0,1.19,37.5,0,1.5,0.86
 36-46,0,0,0,0,0,24.63,0,3.77,3.67,0,0,0,10,0,0,0,8.33,0,1.6,124.25,0,1.3,0.89,0,0,0,0,0,0,21.72,0,0.82,0
 48-58,1.29,0,0,3.46,0,29.82,0,0.51,25.11,0.43,0.37,0.9,0,0,0,4.86,11.01,0,0,124.66,0,0,0.44,0,3.02,0,0,0,0,6.06,0,2.69,0
 60-70,0,0,0,5.68,0,40.91,0,0,30.3,0,0,0,1.06,0,0,0,12.04,0,0.64,130.18,0,0,0,0,2.02,0,0,1.25,0,12.52,0.77,0,0
 72-82,0,0.91,0,0.59,0,26.88,0,0,8.78,0,0,0,0.54,0,2.21,3.23,17.44,0,0,29.09,0,0,0,0,1.97,0,0,0,0,4.15,0,0,0
 84-94,0,0,0,10.02,0.57,19.35,0.79,0,3.57,0,0,0,2.52,1,0,0,4.23,0.92,0,21.85,0,0,0.87,0,3.65,0,0,0,0,1.84,0,0.58,0
 96-106,0,0,0,0,0,10.6,0,1.04,0.93,0,0,0,1.63,0,0,0,4.88,0,1.08,5.23,0,0,0,0,20.82,0,0,0,0,0,0,0.83,0
108-118,0,0,0,0,0,9.06,0,0,7.01,0,0,0,0,0,0,0,4.95,2.89,1.25,23.77,0,0,0,0,3.95,0,1.91,0,0,1.14,0,0,0
120,0,0,0,3.2,0,11.14,1.18,0,3.32,0,0,0,17.35,0,0,0,1.23,0,0,109.47,0,0,0,0,0,0,0,0,0,0,0,10.09,0
