stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,80.1,842.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
  5-6,6.18,696.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,16.8,0,0,0,67.56,0,0,0,0,0,0,0,0,0
  7-9,7.35,4.86,0,5.22,0,5.98,0,0,0,0,0,0,105.23,0,0,0,0,0,0,0,0,0,520.11,8.83,0,0,48.1,136.87,0,0,0,0,0,0,0,0,0
 10-12,0,5.69,0,40.15,0,0,0,11.15,0,0,0,0,91.84,0,0,0,0,0,0,0,0,0,573.04,0,0,0,30.55,51.5,6.56,0,0,0,5.3,0,0,0,0
 14-21,0,0,0,8.97,84.41,0.86,0,0.84,0.85,0,1.25,19.15,3.04,0,5.35,0,0,0,5.14,0,0,0,0,0,0.83,12.2,0.92,85.69,0,1.47,0,0,6.5,2.56,0,0,0
 24-34,0,0,0.84,4.34,17.16,0,0,1.6,1.21,0,0,2.25,0,0,16.96,0,6.44,0.86,1.64,4.58,0,1.4,36.23,5.45,1.06,21.55,0,247.52,0,0,0,0,0,1.94,0,1.32,0
 36-46,0,0,0,0,13.22,0.67,0,2.89,9.31,0,2.74,0.56,0,0,3.07,0,4.36,0,0,8.27,0,0,40.56,2.73,0.81,19.49,0,338.24,0,0,3.52,0,0,0.82,0,0,0
 48-58,0,0,0,0,3.9,0,0,5.79,1.35,0,1.05,0,0,0,7.26,0,2.7,1.04,1.9,3.07,0,0,30.29,0,2.38,13.6,0,169,0,0,0.95,0,0,2.9,0,0,0
 60-70,0,0,0,0,13.69,0,0,2.88,6.9,0,0,1.45,0,0,16.69,0,4.99,0,0,2.28,0,0,21.41,0,1.44,13.56,0,163.84,0,0,0.62,0,0,0,0,0,0
 72-82,0,0,0,0,21.99,0,0,14.75,8.55,0,0.53,2.9,1.18,0,9.31,0,7.27,0,11.13,1.73,0,0,17.77,0,1.41,20.7,0,102.37,0,0,0,1.5,0,2.15,0.69,0,0
 84-94,0,0,0,0,23.09,0,0,0,1.27,0,0,8.64,0.66,0.69,7.94,0.62,12.09,0,6.23,8.32,0,0.56,14.91,0,3.65,19.25,0,265.07,0,0,0.67,0,0,0,0,0,8.82
 96-106,0,0,0.9,0,50.23,1.92,0.84,5.59,5.34,0,2.36,23.94,0,2.46,19.73,0,9.52,7.13,5.18,1.24,4.1,0,18.36,0,1.89,25.63,0,287.52,0,0,0,0,0,0,2.29,0,0
108-118,0,0,2.52,0,33.94,0.61,0,7.92,6.59,0.8,4.54,19.86,0,2.13,29.69,0,7.66,4.66,8.91,15.21,0.69,0.51,19.47,0,3.75,26.42,0,235.68,0,0,0,0,0,0,10.97,0,0
120,0,0,0,0,50.16,0,0,2.51,5.18,0,2.66,26.47,0,4.51,14.81,0,1.11,0,6.3,9.23,0,0,23.73,0,8.2,14.14,0,147.58,0,0,0,0,0,0,2.58,0,0
