stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.04,0,0,0,0,0,0,0,0,0,0,37.63,0,0,4.51,0,0,7.76,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,19.59,0,0,11.32,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.56,0,3.03,0,0,0,0,0,0,0,0,3.88,0,9.32,0,0,0,0,0,0,26.97,47.22,2.86,0,0,0,0
 24-34,0,0,0,0,1.45,0,0.68,0,0,0,0.76,0,0,0,4.75,12.24,0,0,0,0,0,0,6.71,17.96,2.7,0,1.68,0,0
 36-46,0,0,1.58,0,5.21,5.87,0,0,0,0,0,0,0,1.21,0.56,13.05,0,0,0,0,0.77,0,0,0,9.03,0,0,0,1.22
 48-58,0,0,0,0,72.82,0,1.81,0,0,0,3.51,0,0,0.73,0,21.89,0,0,0,0,0.65,0,1.57,0,3.95,0,0,0,0
 60-70,0,0,0,0,367.08,2.76,17.02,4.03,0,0,0,0,0,0,0,27.57,0,0,0,0,0,0,0,0,2.66,0,0,0,0
 72-82,0,0,2.05,1.08,580.81,2.7,9.03,0,0,0,0,0,0.79,4.67,0,41.48,1.31,1.51,0,0,1.14,0,0,0,0,0.9,0,0,0
 84-94,0,0,0,0,373.83,9.87,15.32,0,0,0,0,1.46,0,2.21,0.94,13.3,0,0,0,0,1.22,0,0,0,9.45,0,0,0,1.72
 96-106,0,0,0.64,0,290.59,0,17.37,0,0,0,0,0,0,6.65,0,14.87,0,0.68,0,1.28,3.1,0,0,0,0,0,0,0.96,0
108-118,0,0.57,6.56,0,300.96,1.33,16.93,0,0,0.8,0,0.96,0,10.29,0,28.3,0,0.41,0,0,0,0,0.43,0,0,0,0,0,1.55
120,0,0,0,0,203.07,0,12.8,0,0,0,0,0,0,6.59,8.65,35.08,0,0,0,0,2.56,0,0,0,16.26,0,0,0,0
