stage,epidermis,eye,glial,mesenchyme,mucous,neural,spinal.cord
 10-12,0,0,0,0,0,10.68,0
 14-21,0,0,0,0,0,1.78,0
 24-34,0,0,0.72,0,0,1.04,0.96
 36-46,0,1.44,0,0,0,0,0
 48-58,1.99,0,0,0,0,1.31,0
 72-82,0,2.26,0,0,0,4.85,0
 96-106,0,0,0,0,1.23,0,0
120,0,0,0,1.75,0,12.76,0
