stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,periderm,spinal.cord,vasculature
  3-4,22.52,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,8.51,4.61,0,0,0
 10-12,0,16.58,0,0,5.98,0,0,0,57.74,0,0,0,0
 14-21,0,0,1.66,0.9,0,0,2.45,0,0.9,0,0,1.85,0
 24-34,0,0,0,0,0.94,0,0,3.33,9.77,0,0.76,6.22,0
 36-46,0,0,0,0,2.27,0.63,0.73,0,24.03,0,0,1.12,0.9
 48-58,0,0,0,0,1.87,0.56,0.42,0,4.22,0,0,1.28,0
 60-70,0,0,0,0,5.81,2.5,0.69,0,3.66,0,0,0,0
 72-82,0,0,0,0,0,0,0.5,0,7.03,0,0,0.85,0.5
 84-94,0,0,0,0,0,0,2.96,0,1.59,0,0,0,0
 96-106,0,0,0,0,0,3.58,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.87,1.06,0,3.05,0,0,0,0.95
120,0,0,0,0,0,3.3,0,0,3.23,0,0,0,0
