stage,epidermis,eye,fin_mesenchyme,glial,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
 14-21,0,1.1,0,0,0,0,0,0,12.64,0,0,0,2.21,0,0
 24-34,0,1.09,0,0,0,0,0,0.62,14.94,0,0,0,1.91,0,0
 36-46,0,3.48,0,0,0,0,0,0,54.32,0,0.63,0,12.2,0,0
 48-58,0,8.64,0,0.7,0,2.29,0,0,82.81,0,0,6.61,9.09,0,0
 60-70,0,58.2,0,1.85,0,0.67,1.04,0,109.53,0,0,0,26.37,0,0
 72-82,0,26.06,0,3.58,0,0,0,0,50.95,1.43,0,0,2.19,0,0
 84-94,0,39.34,0,0.79,0,1.4,1.84,4.13,38.55,0,0,0,8.43,0,1.57
 96-106,0,28.02,1.65,0,0,3.02,0,0,37.22,0,0,0,9.59,0,0
108-118,0.81,36.26,0,3.34,1.53,2.81,0,1.13,24.52,0,0,0,4.6,1.76,0
120,0,29.87,0,3.38,0,0,0,1.49,127.38,0,0,0,0,0,0
