stage,blastomeres,eye,glial,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pgc,pronephros,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,17.74,0,0,5.15,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,31.04,0,0,0,0,0,0,0
 14-21,0,176.6,0,0,0,0,0,0.87,19.73,0,0,0,0,0,0,1.22
 24-34,0,842.12,0,0,1.29,0,0,0,12.61,0,0,0,0,0,0,11.09
 36-46,0,682.03,0,0,0,0,0,0,27.72,0,0,0,0,3.12,0,0
 48-58,0,258.65,0.84,0,0.91,0,0.95,0,9.26,2.3,0,0,0.65,2.25,0,0
 60-70,0,1151.13,0,0,0,2.49,0,0,3.95,0,0,0,0,0,0,0
 72-82,0,476.62,1.34,0,0,0.5,0,0,6.53,0,0.7,0,0,0,0,7.14
 84-94,0,618.05,2.65,0,0,0.96,0,0,8.04,0,0,0,0,0,0,0
 96-106,0,100.24,10.73,0,0,1.02,0,1.68,16.83,0,0,0,0,0,0.93,0
108-118,0,325.32,0,0,0,2.4,0,0,2.41,0.63,0,0,0,0,0,0
120,0,857.25,0,1.97,0,0,0,0,5.75,0,0,0,0,0,0,0
