stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11.58,0,2.48,1.31,0,0,0.84,1.82,0,0,0,0
 24-34,0,0,0,0.7,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,69.1,0,63.51,0,0,0,0,0,0,2.96,0,0,0,0
 36-46,0,0,0,14.59,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,153.49,1.52,45.78,0,0,0,0,0,0,5.49,0,0.73,0,0
 48-58,0,7.38,0,75.7,0,0.41,0,3.36,0,0,0,0,0,0,0,1.45,0,0,0,369.9,2.52,28.71,0,0,0.75,0,0,0,17.97,0,0,0,0
 60-70,0,0,0.77,197.77,0,2.18,2.9,8.87,0,0,0,0,0,0,3.72,9.7,0,0,0,629.9,5.04,33.95,0,0,0,0.73,0,0,29.32,0,0.87,1.92,0
 72-82,0,3.53,1.74,184.75,0.5,0,0,3.85,0,0,0,5.79,0,0,0,5.67,0,0,0,552.53,0,39.94,0,0,2.78,0,3.1,0,15.05,0.87,0,0,0
 84-94,0,4.07,0,138,0,0,0,7.67,0,0.78,1.52,0.67,0.69,0,0,9.36,1.03,0,0,327.89,0,16.62,0.69,0,0.69,0,0,0,11.76,0,0,0,0
 96-106,0,3.41,0,74.83,0,0,0,7.78,1.28,0,0,0,0,0,0,0,0,0.59,1.09,402.27,0,32.58,0,0,2.24,0,0,0,0,0,0,0,5.96
108-118,0,4.11,0,97.19,0,0.7,0,20.58,0,0,1.98,0,0,3.69,0,0.64,0,0,0,416.38,0,17.71,0,0,2.35,0,0,0,5.14,0.89,0,0,2.22
120,0,0,0,79.98,0,0,0,4.74,0,1.75,0,0,0,0,0,9.23,0,0,2.95,450.07,0,14.08,0,0,1.33,0,0,0,7.96,0,0,0,0
