stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,13.55,79.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.34,33.1,0,0,179.35,0,0,112.78,0,0,0,0,0,0,0
 14-21,0,1.49,206.01,144.69,7.57,0,0,0,99.62,4.69,0,1.25,0.93,0,218.99,0,0,58.15,68.82,28.91,0,0.95,221.03,0,16.02,1.11,0,4.44,79.87,0,1.72,0,0
 24-34,0,0,272.59,0.6,25.14,2.78,0,0,4.07,25.49,0.98,0,5.67,2.96,138.04,4.33,0,37.34,50.41,0,0,6.38,0,5.55,0,0,0,3.46,9.37,0,14.97,0,0
 36-46,0,0,100.05,0,18.2,2.07,1.08,0,2.17,28.04,0,0,3.08,0,166.46,0.73,7.74,13.72,36.03,0,0.91,6.86,0,8.93,0,0,0,0,2.25,0,2.6,0,0
 48-58,0,0,80.8,3.01,54.42,0,4.64,1.11,0,15.53,0,0,3.06,0,218.39,0,15.07,16.92,101.8,0,0,4.79,0,3.3,0,0,0,0,6.56,1.36,2.39,1.9,0
 60-70,0,0,22.63,0,53,1.31,3.77,0,0.93,30.62,1.58,0,3.93,0,232.79,0,7.13,11.66,77.62,0,0,3.12,0,6.41,0,0,1.58,0,7.83,1.3,0,9.22,0
 72-82,0,0,14.04,0,47.96,8.3,3.14,0,0,2.17,3.35,0,9.45,0,164.6,0,37.61,24.47,76.73,0,0,4.81,0,3.06,0,0,1.06,0,2.17,2.13,2.15,23.79,0
 84-94,0,0,33.43,0.96,56.2,0,10.02,4.33,0.58,7.7,2.2,0,2.57,0,218.98,0.62,23.38,10.51,42.03,0,0,1.75,0,0,0,0,0,0,1.04,7.38,1.81,27.01,0
 96-106,0,0,3.1,0,40.53,0.56,8.23,0,0,5.34,2.86,0,5.6,0,197.41,0,10.52,25.55,67.03,0,0,7.71,0,1.05,0,0,0,0,0,2.99,0,28.17,0
108-118,0,0,7.28,5.04,66.46,1.68,9,1.45,0,5.79,3.64,0,6.33,0,199.16,0,8.8,17.11,49.1,0,0,3.97,0,3.01,0,0.43,0,0,0,0,0.6,28.09,0
120,0,0,9.96,0,74.04,0,12.24,0,0,2.11,18.77,1.05,6.18,0,170.02,0,23.79,27.72,66.83,0,0,6.85,0,0,0,0,1.52,0,0,5.42,0,29.23,16.56
